shape,convex,x_raw,algorithm,parameter,dist_euclidean,dist_horizontal
A,concave,12,alpha_shape,0.1,3.249668418,3.5
A,concave,12,alpha_shape,0.2,7.397336564,11
A,concave,12,alpha_shape,0.3,7.397336564,11
A,concave,12,alpha_shape,0.6,7.433034374,11
A,concave,12,alpha_shape,1,7.433034374,11
A,concave,16,alpha_shape,0.01,0,-8.5
A,concave,16,alpha_shape,0.02,0,-6.5
A,concave,16,alpha_shape,0.03,0,-4.5
A,concave,16,alpha_shape,0.04,0,-0.5
A,concave,16,alpha_shape,0.045,1.328331895,1.5
A,concave,16,alpha_shape,0.047,1.596023941,1.5
A,concave,16,alpha_shape,0.049,2.458826916,2.5
A,concave,16,alpha_shape,0.05,2.58359155,2.5
A,concave,16,alpha_shape,0.051,2.58359155,2.5
A,concave,16,alpha_shape,0.053,2.71215214,2.5
A,concave,16,alpha_shape,0.055,2.844614973,3.5
A,concave,16,alpha_shape,0.06,3.840534896,4.5
A,concave,16,alpha_shape,0.1,6.963575182,6.5
A,concave,16,alpha_shape,0.2,8.367479064,15
A,concave,16,alpha_shape,0.3,8.367479064,15
A,concave,16,alpha_shape,0.6,8.381527307,15
A,concave,16,alpha_shape,1,8.381527307,15
A,concave,20,alpha_shape,0.01,0,-4.5
A,concave,20,alpha_shape,0.02,0,-2.5
A,concave,20,alpha_shape,0.03,0,-0.5
A,concave,20,alpha_shape,0.04,3.242291745,3.5
A,concave,20,alpha_shape,0.045,4.501569199,5.5
A,concave,20,alpha_shape,0.047,4.712070682,5.5
A,concave,20,alpha_shape,0.049,5.66867628,6.5
A,concave,20,alpha_shape,0.05,5.763396534,6.5
A,concave,20,alpha_shape,0.051,5.763396534,6.5
A,concave,20,alpha_shape,0.053,5.860375801,6.5
A,concave,20,alpha_shape,0.055,5.95963061,7.5
A,concave,20,alpha_shape,0.06,7.028903488,8.5
A,concave,20,alpha_shape,0.1,9.219544457,11.5
A,concave,20,alpha_shape,0.2,9.219544457,19
A,concave,20,alpha_shape,0.3,9.219544457,19
A,concave,20,alpha_shape,0.6,9.219544457,19
A,concave,20,alpha_shape,1,9.219544457,19
A,concave,25,alpha_shape,0.01,0.571771875,0.5
A,concave,25,alpha_shape,0.02,2.453781226,2.5
A,concave,25,alpha_shape,0.03,3.954803202,4.5
A,concave,25,alpha_shape,0.04,7.202342731,8.5
A,concave,25,alpha_shape,0.045,8.46811583,10.5
A,concave,25,alpha_shape,0.047,8.607129108,10.5
A,concave,25,alpha_shape,0.049,9.680987985,11.5
A,concave,25,alpha_shape,0.05,9.738152764,11.5
A,concave,25,alpha_shape,0.051,9.738152764,11.5
A,concave,25,alpha_shape,0.053,9.795655376,11.5
A,concave,25,alpha_shape,0.055,9.853400155,12.5
A,concave,25,alpha_shape,0.06,10.42903188,13.5
A,concave,25,alpha_shape,0.1,10.42903188,16.5
A,concave,25,alpha_shape,0.2,10.42903188,24
A,concave,25,alpha_shape,0.3,10.42903188,24
A,concave,25,alpha_shape,0.6,10.44030651,24
A,concave,25,alpha_shape,1,10.44030651,24
A,concave,32,alpha_shape,0.01,7.163965256,7.5
A,concave,32,alpha_shape,0.02,8.5934551,9.5
A,concave,32,alpha_shape,0.03,9.608184764,11.5
A,concave,32,alpha_shape,0.04,12.02081528,15.5
A,concave,32,alpha_shape,0.045,12.02081528,17.5
A,concave,32,alpha_shape,0.047,12.02081528,17.5
A,concave,32,alpha_shape,0.049,12.02081528,18.5
A,concave,32,alpha_shape,0.05,12.02081528,18.5
A,concave,32,alpha_shape,0.051,12.02081528,18.5
A,concave,32,alpha_shape,0.053,12.02081528,18.5
A,concave,32,alpha_shape,0.055,12.02081528,19.5
A,concave,32,alpha_shape,0.06,12.02081528,20.5
A,concave,32,alpha_shape,0.1,12.02081528,23.5
A,concave,32,alpha_shape,0.2,12.17579566,31
A,concave,32,alpha_shape,0.3,12.17579566,31
A,concave,32,alpha_shape,0.6,12.52198067,31
A,concave,32,alpha_shape,1,12.52198067,31
A,concave,45,alpha_shape,0.01,19.40661011,20.5
A,concave,45,alpha_shape,0.02,19.99570658,22.5
A,concave,45,alpha_shape,0.03,20.11218536,24.5
A,concave,45,alpha_shape,0.04,20.11218536,28.5
A,concave,45,alpha_shape,0.045,20.11218536,30.5
A,concave,45,alpha_shape,0.047,20.11218536,30.5
A,concave,45,alpha_shape,0.049,20.11218536,31.5
A,concave,45,alpha_shape,0.05,20.11218536,31.5
A,concave,45,alpha_shape,0.051,20.11218536,31.5
A,concave,45,alpha_shape,0.053,20.11218536,31.5
A,concave,45,alpha_shape,0.055,20.11218536,32.5
A,concave,45,alpha_shape,0.06,20.11218536,33.5
