shape,changeType,blockNum,trialID,response,confidence,rt,experimentVersion,correctAnswer,fullShapeName,responded_correctly,analysisChangeType,subject
shape3,no_change1,3,35,same,9,4422,v001,same,shape3_no_change1,1,none,1
catch_shape,change4,4,36,different,9,1917,v001,different,catch_shape_change4,1,none,1
shape6,concave_area1,4,37,same,8,3647,v001,different,shape6_concave_area1,0,concave,1
shape2,no_change1,4,38,different,7,1542,v001,same,shape2_no_change1,0,none,1
shape1,concave_area2,4,39,same,8,2366,v001,different,shape1_concave_area2,0,concave,1
shape5,no_change1,4,40,same,9,1717,v001,same,shape5_no_change1,1,none,1
shape3,convex_area1,4,41,same,8,2757,v001,different,shape3_convex_area1,0,convex,1
shape4,no_change1,4,42,same,9,1438,v001,same,shape4_no_change1,1,none,1
shape7,no_change6,4,43,same,7,2447,v001,same,shape7_no_change6,1,none,1
shape8,no_change5,4,44,same,9,1455,v001,same,shape8_no_change5,1,none,1
shape2,no_change5,5,45,different,8,1223,v001,same,shape2_no_change5,0,none,1
shape1,concave_area1,5,46,same,8,1910,v001,different,shape1_concave_area1,0,concave,1
shape3,no_change3,5,47,same,9,1958,v001,same,shape3_no_change3,1,none,1
shape5,convex_area1,5,48,different,3,2494,v001,different,shape5_convex_area1,1,convex,1
shape4,no_change5,5,49,same,9,1141,v001,same,shape4_no_change5,1,none,1
catch_shape,no_change1,5,50,same,9,1287,v001,same,catch_shape_no_change1,1,none,1
shape6,concave_nofill_area1,5,51,different,4,1829,v001,different,shape6_concave_nofill_area1,1,concave_nofill,1
shape8,no_change4,5,52,same,9,1335,v001,same,shape8_no_change4,1,none,1
shape7,no_change5,5,53,different,6,1293,v001,same,shape7_no_change5,0,none,1
shape3,no_change6,6,54,different,6,1222,v001,same,shape3_no_change6,0,none,1
shape4,concave_nofill_area1,6,55,different,9,1893,v001,different,shape4_concave_nofill_area1,1,concave_nofill,1
shape8,concave_nofill_area1,6,56,different,9,1207,v001,different,shape8_concave_nofill_area1,1,concave_nofill,1
shape2,convex_area1,6,57,different,8,1133,v001,different,shape2_convex_area1,1,convex,1
shape1,no_change6,6,58,same,8,2582,v001,same,shape1_no_change6,1,none,1
shape5,no_change6,6,59,different,7,1078,v001,same,shape5_no_change6,0,none,1
catch_shape,change5,6,60,different,9,877,v001,different,catch_shape_change5,1,none,1
shape6,no_change5,6,61,same,9,1093,v001,same,shape6_no_change5,1,none,1
shape7,concave_area2,6,62,different,6,2214,v001,different,shape7_concave_area2,1,concave,1
shape2,convex_area2,7,63,different,9,1207,v001,different,shape2_convex_area2,1,convex,1
shape1,concave_nofill_area2,7,64,different,7,1903,v001,different,shape1_concave_nofill_area2,1,concave_nofill,1
shape3,concave_area1,7,65,same,5,2735,v001,different,shape3_concave_area1,0,concave,1
shape6,concave_area2,7,66,different,9,973,v001,different,shape6_concave_area2,1,concave,1
shape4,concave_nofill_area2,7,67,different,9,830,v001,different,shape4_concave_nofill_area2,1,concave_nofill,1
shape8,convex_area1,7,68,different,9,845,v001,different,shape8_convex_area1,1,convex,1
shape7,convex_area1,7,69,different,9,870,v001,different,shape7_convex_area1,1,convex,1
catch_shape,no_change6,7,70,different,6,2166,v001,same,catch_shape_no_change6,0,none,1
shape5,no_change4,7,71,different,6,1296,v001,same,shape5_no_change4,0,none,1
shape1,no_change5,8,72,same,8,1470,v001,same,shape1_no_change5,1,none,1
shape2,concave_area2,8,73,different,9,887,v001,different,shape2_concave_area2,1,concave,1
shape4,convex_area1,8,74,different,9,743,v001,different,shape4_convex_area1,1,convex,1
shape3,concave_nofill_area1,8,75,different,9,1150,v001,different,shape3_concave_nofill_area1,1,concave_nofill,1
shape7,concave_nofill_area1,8,76,different,9,775,v001,different,shape7_concave_nofill_area1,1,concave_nofill,1
shape6,no_change4,8,77,different,9,767,v001,same,shape6_no_change4,0,none,1
shape5,concave_area1,8,78,different,7,2784,v001,different,shape5_concave_area1,1,concave,1
shape8,convex_area2,8,79,different,9,757,v001,different,shape8_convex_area2,1,convex,1
catch_shape,change2,8,80,different,9,655,v001,different,catch_shape_change2,1,none,1
shape2,concave_nofill_area1,9,81,different,9,1565,v001,different,shape2_concave_nofill_area1,1,concave_nofill,1
shape1,convex_area1,9,82,different,9,935,v001,different,shape1_convex_area1,1,convex,1
shape8,concave_nofill_area2,9,83,different,9,880,v001,different,shape8_concave_nofill_area2,1,concave_nofill,1
shape3,no_change5,9,84,same,8,1358,v001,same,shape3_no_change5,1,none,1
shape4,concave_area1,9,85,same,9,1686,v001,different,shape4_concave_area1,0,concave,1
shape5,convex_area2,9,86,different,9,1056,v001,different,shape5_convex_area2,1,convex,1
shape7,concave_nofill_area2,9,87,different,9,846,v001,different,shape7_concave_nofill_area2,1,concave_nofill,1
shape6,convex_area2,9,88,different,9,757,v001,different,shape6_convex_area2,1,convex,1
catch_shape,no_change4,9,89,same,9,759,v001,same,catch_shape_no_change4,1,none,1
shape3,convex_area2,10,90,different,9,695,v001,different,shape3_convex_area2,1,convex,1
shape2,concave_nofill_area2,10,91,different,9,679,v001,different,shape2_concave_nofill_area2,1,concave_nofill,1
shape4,convex_area2,10,92,different,7,1175,v001,different,shape4_convex_area2,1,convex,1
shape1,concave_nofill_area1,10,93,different,5,2031,v001,different,shape1_concave_nofill_area1,1,concave_nofill,1
shape5,concave_area2,10,94,different,9,830,v001,different,shape5_concave_area2,1,concave,1
shape7,concave_area1,10,95,different,7,1038,v001,different,shape7_concave_area1,1,concave,1
shape8,no_change6,10,96,same,9,919,v001,same,shape8_no_change6,1,none,1
shape6,convex_area1,10,97,different,9,1030,v001,different,shape6_convex_area1,1,convex,1
catch_shape,change3,10,98,different,9,743,v001,different,catch_shape_change3,1,none,1
shape3,concave_nofill_area2,11,99,different,9,903,v001,different,shape3_concave_nofill_area2,1,concave_nofill,1
shape1,convex_area2,11,100,different,9,748,v001,different,shape1_convex_area2,1,convex,1
shape2,concave_area1,11,101,different,9,846,v001,different,shape2_concave_area1,1,concave,1
shape4,concave_area2,11,102,different,9,837,v001,different,shape4_concave_area2,1,concave,1
shape5,concave_nofill_area2,11,103,different,9,863,v001,different,shape5_concave_nofill_area2,1,concave_nofill,1
shape6,concave_nofill_area2,11,104,different,9,871,v001,different,shape6_concave_nofill_area2,1,concave_nofill,1
catch_shape,change6,11,105,different,9,789,v001,different,catch_shape_change6,1,none,1
shape8,concave_area2,11,106,different,9,1183,v001,different,shape8_concave_area2,1,concave,1
shape7,convex_area2,11,107,different,9,758,v001,different,shape7_convex_area2,1,convex,1
shape4,no_change4,0,0,same,9,4284.4,v001,same,shape4_no_change4,1,none,2
catch_shape,change2,0,1,different,9,1972.6,v001,different,catch_shape_change2,1,none,2
shape2,no_change6,0,2,same,9,1529.2,v001,same,shape2_no_change6,1,none,2
shape1,no_change1,0,3,same,9,1235.9,v001,same,shape1_no_change1,1,none,2
shape3,concave_area1,0,4,same,9,1153.9,v001,different,shape3_concave_area1,0,concave,2
shape5,no_change1,0,5,same,9,1116.9,v001,same,shape5_no_change1,1,none,2
shape6,convex_area2,0,6,same,8,1818.1,v001,different,shape6_convex_area2,0,convex,2
shape8,no_change6,0,7,same,9,1005.5,v001,same,shape8_no_change6,1,none,2
shape7,no_change1,0,8,same,9,1060.4,v001,same,shape7_no_change1,1,none,2
shape2,concave_area1,1,9,same,9,1413,v001,different,shape2_concave_area1,0,concave,2
shape4,no_change1,1,10,same,9,994.1,v001,same,shape4_no_change1,1,none,2
catch_shape,no_change6,1,11,same,9,949.6,v001,same,catch_shape_no_change6,1,none,2
shape6,concave_area1,1,12,same,9,1202.4,v001,different,shape6_concave_area1,0,concave,2
shape8,no_change4,1,13,same,8,1557,v001,same,shape8_no_change4,1,none,2
shape7,convex_area2,1,14,different,7,2396.2,v001,different,shape7_convex_area2,1,convex,2
shape1,concave_area1,1,15,same,9,1611.6,v001,different,shape1_concave_area1,0,concave,2
shape3,concave_area2,1,16,different,8,1634.9,v001,different,shape3_concave_area2,1,concave,2
shape5,no_change2,1,17,same,8,1686.5,v001,same,shape5_no_change2,1,none,2
shape8,concave_area2,2,18,same,9,1669.7,v001,different,shape8_concave_area2,0,concave,2
shape7,no_change2,2,19,same,7,1169.3,v001,same,shape7_no_change2,1,none,2
shape4,no_change6,2,20,same,7,852,v001,same,shape4_no_change6,1,none,2
catch_shape,no_change1,2,21,same,8,972.5,v001,same,catch_shape_no_change1,1,none,2
shape3,concave_nofill_area2,2,22,different,8,1942.2,v001,different,shape3_concave_nofill_area2,1,concave_nofill,2
shape2,concave_nofill_area1,2,23,different,9,1789.1,v001,different,shape2_concave_nofill_area1,1,concave_nofill,2
shape1,no_change6,2,24,same,8,1677.5,v001,same,shape1_no_change6,1,none,2
shape6,no_change5,2,25,different,8,3239.5,v001,same,shape6_no_change5,0,none,2
shape5,no_change3,2,26,same,7,918,v001,same,shape5_no_change3,1,none,2
shape1,concave_area2,3,27,different,8,1493.3,v001,different,shape1_concave_area2,1,concave,2
shape5,no_change4,3,28,same,8,843.8,v001,same,shape5_no_change4,1,none,2
shape6,no_change1,3,29,different,7,996.8,v001,same,shape6_no_change1,0,none,2
shape2,convex_area1,3,30,same,7,1770.7,v001,different,shape2_convex_area1,0,convex,2
shape4,no_change2,3,31,same,7,684.5,v001,same,shape4_no_change2,1,none,2
shape7,concave_area2,3,32,same,7,3050.7,v001,different,shape7_concave_area2,0,concave,2
shape3,convex_area1,3,33,different,7,2114.8,v001,different,shape3_convex_area1,1,convex,2
shape8,convex_area1,3,34,same,8,1831.2,v001,different,shape8_convex_area1,0,convex,2
catch_shape,change4,3,35,different,9,1988.7,v001,different,catch_shape_change4,1,none,2
shape8,no_change3,4,36,same,8,1949.6,v001,same,shape8_no_change3,1,none,2
shape6,no_change4,4,37,different,7,2290,v001,same,shape6_no_change4,0,none,2
shape7,no_change3,4,38,same,8,2331.6,v001,same,shape7_no_change3,1,none,2
shape1,no_change2,4,39,different,7,30955.5,v001,same,shape1_no_change2,0,none,2
shape2,concave_nofill_area2,4,40,same,7,1762,v001,different,shape2_concave_nofill_area2,0,concave_nofill,2
catch_shape,no_change2,4,41,same,6,1940.3,v001,same,catch_shape_no_change2,1,none,2
shape5,no_change5,4,42,same,8,1508.4,v001,same,shape5_no_change5,1,none,2
shape3,no_change5,4,43,different,7,1566.8,v001,same,shape3_no_change5,0,none,2
shape4,no_change5,4,44,same,8,4232.7,v001,same,shape4_no_change5,1,none,2
shape4,concave_area2,5,45,different,8,2242,v001,different,shape4_concave_area2,1,concave,2
shape1,convex_area2,5,46,different,9,1916.2,v001,different,shape1_convex_area2,1,convex,2
shape6,no_change2,5,47,different,7,1892.6,v001,same,shape6_no_change2,0,none,2
shape8,no_change2,5,48,same,9,1167.5,v001,same,shape8_no_change2,1,none,2
shape3,no_change1,5,49,different,7,1188.3,v001,same,shape3_no_change1,0,none,2
shape2,concave_area2,5,50,different,7,1916.7,v001,different,shape2_concave_area2,1,concave,2
catch_shape,no_change3,5,51,different,2,3269,v001,same,catch_shape_no_change3,0,none,2
shape5,concave_nofill_area2,5,52,different,9,1356.1,v001,different,shape5_concave_nofill_area2,1,concave_nofill,2
shape7,convex_area1,5,53,different,9,2036.8,v001,different,shape7_convex_area1,1,convex,2
catch_shape,change6,6,54,different,9,1340.6,v001,different,catch_shape_change6,1,none,2
shape5,no_change6,6,55,same,8,1645.7,v001,same,shape5_no_change6,1,none,2
shape8,concave_nofill_area1,6,56,different,9,1692.5,v001,different,shape8_concave_nofill_area1,1,concave_nofill,2
shape4,no_change3,6,57,same,9,2184.3,v001,same,shape4_no_change3,1,none,2
shape2,no_change2,6,58,same,9,1675.4,v001,same,shape2_no_change2,1,none,2
shape7,no_change4,6,59,same,8,1268,v001,same,shape7_no_change4,1,none,2
shape3,no_change3,6,60,same,7,1632.9,v001,same,shape3_no_change3,1,none,2
shape1,convex_area1,6,61,different,6,1500.3,v001,different,shape1_convex_area1,1,convex,2
shape6,no_change3,6,62,same,6,1364.5,v001,same,shape6_no_change3,1,none,2
shape1,no_change3,7,63,same,5,2406.7,v001,same,shape1_no_change3,1,none,2
shape6,concave_area2,7,64,different,5,1535.9,v001,different,shape6_concave_area2,1,concave,2
shape2,no_change3,7,65,same,6,1922.3,v001,same,shape2_no_change3,1,none,2
shape8,no_change5,7,66,same,8,1621.1,v001,same,shape8_no_change5,1,none,2
catch_shape,change3,7,67,different,9,1525.7,v001,different,catch_shape_change3,1,none,2
shape3,no_change4,7,68,same,8,1892.1,v001,same,shape3_no_change4,1,none,2
shape7,no_change5,7,69,same,9,964.1,v001,same,shape7_no_change5,1,none,2
shape4,concave_nofill_area2,7,70,different,9,1765.1,v001,different,shape4_concave_nofill_area2,1,concave_nofill,2
shape5,concave_area1,7,71,different,8,2013.7,v001,different,shape5_concave_area1,1,concave,2
shape1,no_change4,8,72,same,9,2078.3,v001,same,shape1_no_change4,1,none,2
shape2,no_change5,8,73,same,8,1371.8,v001,same,shape2_no_change5,1,none,2
shape7,concave_nofill_area2,8,74,different,8,1493.2,v001,different,shape7_concave_nofill_area2,1,concave_nofill,2
shape5,convex_area1,8,75,different,7,1786.8,v001,different,shape5_convex_area1,1,convex,2
shape3,no_change2,8,76,different,8,1628.8,v001,same,shape3_no_change2,0,none,2
shape8,no_change1,8,77,same,8,6918.5,v001,same,shape8_no_change1,1,none,2
catch_shape,no_change5,8,78,same,9,1296.2,v001,same,catch_shape_no_change5,1,none,2
shape6,convex_area1,8,79,different,9,2499.4,v001,different,shape6_convex_area1,1,convex,2
shape4,convex_area1,8,80,same,7,3109.4,v001,different,shape4_convex_area1,0,convex,2
shape8,concave_area1,9,81,different,7,1717.7,v001,different,shape8_concave_area1,1,concave,2
shape5,concave_area2,9,82,different,6,1916.4,v001,different,shape5_concave_area2,1,concave,2
shape6,concave_nofill_area1,9,83,different,7,1717.8,v001,different,shape6_concave_nofill_area1,1,concave_nofill,2
shape1,concave_nofill_area2,9,84,different,6,1692.1,v001,different,shape1_concave_nofill_area2,1,concave_nofill,2
shape3,convex_area2,9,85,same,8,1492.6,v001,different,shape3_convex_area2,0,convex,2
shape2,no_change1,9,86,same,8,1860.9,v001,same,shape2_no_change1,1,none,2
shape4,convex_area2,9,87,different,9,1333.2,v001,different,shape4_convex_area2,1,convex,2
shape7,concave_nofill_area1,9,88,different,7,1660.1,v001,different,shape7_concave_nofill_area1,1,concave_nofill,2
catch_shape,change5,9,89,different,9,900.9,v001,different,catch_shape_change5,1,none,2
shape1,concave_nofill_area1,10,90,same,7,1245.2,v001,different,shape1_concave_nofill_area1,0,concave_nofill,2
shape4,concave_area1,10,91,different,6,2293.4,v001,different,shape4_concave_area1,1,concave,2
shape6,no_change6,10,92,different,5,3509.8,v001,same,shape6_no_change6,0,none,2
catch_shape,no_change4,10,93,same,9,2581.8,v001,same,catch_shape_no_change4,1,none,2
shape2,convex_area2,10,94,different,9,1710.6,v001,different,shape2_convex_area2,1,convex,2
shape3,no_change6,10,95,same,5,4084.8,v001,same,shape3_no_change6,1,none,2
shape8,convex_area2,10,96,different,9,1348.7,v001,different,shape8_convex_area2,1,convex,2
shape5,convex_area2,10,97,different,7,1396.6,v001,different,shape5_convex_area2,1,convex,2
shape7,no_change6,10,98,same,9,791.7,v001,same,shape7_no_change6,1,none,2
catch_shape,change1,11,99,different,9,1720.6,v001,different,catch_shape_change1,1,none,2
shape7,concave_area1,11,100,different,6,2245.8,v001,different,shape7_concave_area1,1,concave,2
shape6,concave_nofill_area2,11,101,different,6,2116.5,v001,different,shape6_concave_nofill_area2,1,concave_nofill,2
shape1,no_change5,11,102,same,9,2509.3,v001,same,shape1_no_change5,1,none,2
shape2,no_change4,11,103,same,8,1843.5,v001,same,shape2_no_change4,1,none,2
shape3,concave_nofill_area1,11,104,different,8,1628.5,v001,different,shape3_concave_nofill_area1,1,concave_nofill,2
shape4,concave_nofill_area1,11,105,different,7,1931.4,v001,different,shape4_concave_nofill_area1,1,concave_nofill,2
shape8,concave_nofill_area2,11,106,different,9,1644.4,v001,different,shape8_concave_nofill_area2,1,concave_nofill,2
shape5,concave_nofill_area1,11,107,different,9,1844.6,v001,different,shape5_concave_nofill_area1,1,concave_nofill,2
shape5,no_change5,0,0,same,8,3538.5,v001,same,shape5_no_change5,1,none,3
shape3,no_change1,0,1,same,7,2978.1,v001,same,shape3_no_change1,1,none,3
shape6,concave_area2,0,2,different,7,1778.7,v001,different,shape6_concave_area2,1,concave,3
shape8,no_change6,0,3,same,7,1737.7,v001,same,shape8_no_change6,1,none,3
shape4,no_change6,0,4,different,9,1066.9,v001,same,shape4_no_change6,0,none,3
shape7,no_change1,0,5,same,7,2529.7,v001,same,shape7_no_change1,1,none,3
shape1,convex_area2,0,6,different,9,1682.6,v001,different,shape1_convex_area2,1,convex,3
catch_shape,no_change1,0,7,same,9,1514.6,v001,same,catch_shape_no_change1,1,none,3
shape2,concave_area2,0,8,different,8,1514,v001,different,shape2_concave_area2,1,concave,3
shape3,no_change4,1,9,different,9,1533.6,v001,same,shape3_no_change4,0,none,3
shape8,convex_area2,1,10,different,9,1189.6,v001,different,shape8_convex_area2,1,convex,3
shape6,no_change1,1,11,same,6,2213.1,v001,same,shape6_no_change1,1,none,3
shape4,no_change1,1,12,different,8,748.2,v001,same,shape4_no_change1,0,none,3
catch_shape,change2,1,13,different,9,2292.5,v001,different,catch_shape_change2,1,none,3
shape1,no_change4,1,14,same,8,1613.5,v001,same,shape1_no_change4,1,none,3
shape5,no_change4,1,15,same,8,1268.4,v001,same,shape5_no_change4,1,none,3
shape2,no_change3,1,16,same,8,1099.7,v001,same,shape2_no_change3,1,none,3
shape7,no_change2,1,17,same,8,1879.1,v001,same,shape7_no_change2,1,none,3
shape4,convex_area2,2,18,same,9,1228.3,v001,different,shape4_convex_area2,0,convex,3
shape3,no_change2,2,19,same,8,1358.6,v001,same,shape3_no_change2,1,none,3
shape2,no_change2,2,20,same,8,951.6,v001,same,shape2_no_change2,1,none,3
shape1,no_change1,2,21,same,8,532,v001,same,shape1_no_change1,1,none,3
shape5,no_change3,2,22,same,8,619.3,v001,same,shape5_no_change3,1,none,3
shape7,concave_area1,2,23,same,8,900.3,v001,different,shape7_concave_area1,0,concave,3
shape6,concave_nofill_area2,2,24,different,8,733.8,v001,different,shape6_concave_nofill_area2,1,concave_nofill,3
shape8,no_change5,2,25,same,9,523.2,v001,same,shape8_no_change5,1,none,3
catch_shape,no_change2,2,26,same,9,848.3,v001,same,catch_shape_no_change2,1,none,3
shape5,concave_area2,3,27,same,8,1065.4,v001,different,shape5_concave_area2,0,concave,3
shape1,no_change2,3,28,same,9,650.1,v001,same,shape1_no_change2,1,none,3
shape8,no_change4,3,29,same,9,530.8,v001,same,shape8_no_change4,1,none,3
shape6,concave_area1,3,30,different,8,1572.6,v001,different,shape6_concave_area1,1,concave,3
shape7,no_change4,3,31,same,9,470.4,v001,same,shape7_no_change4,1,none,3
catch_shape,no_change3,3,32,same,9,524.2,v001,same,catch_shape_no_change3,1,none,3
shape4,concave_nofill_area1,3,33,different,8,1634.7,v001,different,shape4_concave_nofill_area1,1,concave_nofill,3
shape3,convex_area1,3,34,same,8,619,v001,different,shape3_convex_area1,0,convex,3
shape2,convex_area2,3,35,different,8,953.5,v001,different,shape2_convex_area2,1,convex,3
shape1,no_change5,4,36,same,9,470.1,v001,same,shape1_no_change5,1,none,3
shape4,no_change2,4,37,same,9,644.4,v001,same,shape4_no_change2,1,none,3
shape2,concave_area1,4,38,different,8,536.3,v001,different,shape2_concave_area1,1,concave,3
catch_shape,no_change5,4,39,same,8,2103.9,v001,same,catch_shape_no_change5,1,none,3
shape3,no_change5,4,40,same,8,682.4,v001,same,shape3_no_change5,1,none,3
shape6,no_change6,4,41,same,9,794.9,v001,same,shape6_no_change6,1,none,3
shape8,no_change3,4,42,same,9,705.6,v001,same,shape8_no_change3,1,none,3
shape7,no_change5,4,43,same,9,660.8,v001,same,shape7_no_change5,1,none,3
shape5,convex_area1,4,44,different,8,823,v001,different,shape5_convex_area1,1,convex,3
shape1,concave_nofill_area1,5,45,different,8,481.3,v001,different,shape1_concave_nofill_area1,1,concave_nofill,3
shape8,convex_area1,5,46,different,8,439.6,v001,different,shape8_convex_area1,1,convex,3
shape4,convex_area1,5,47,same,8,767.4,v001,different,shape4_convex_area1,0,convex,3
catch_shape,change6,5,48,different,8,536.7,v001,different,catch_shape_change6,1,none,3
shape2,no_change5,5,49,same,8,465.7,v001,same,shape2_no_change5,1,none,3
shape3,no_change6,5,50,same,8,490.6,v001,same,shape3_no_change6,1,none,3
shape5,no_change2,5,51,same,8,498,v001,same,shape5_no_change2,1,none,3
shape6,convex_area1,5,52,different,8,497.8,v001,different,shape6_convex_area1,1,convex,3
shape7,convex_area2,5,53,different,8,489.9,v001,different,shape7_convex_area2,1,convex,3
shape4,no_change5,6,54,same,8,516.5,v001,same,shape4_no_change5,1,none,3
shape6,no_change2,6,55,same,8,523.8,v001,same,shape6_no_change2,1,none,3
shape3,convex_area2,6,56,different,5,1390.7,v001,different,shape3_convex_area2,1,convex,3
shape2,no_change4,6,57,same,9,631.2,v001,same,shape2_no_change4,1,none,3
shape7,no_change3,6,58,same,9,728.5,v001,same,shape7_no_change3,1,none,3
catch_shape,change5,6,59,different,8,790.3,v001,different,catch_shape_change5,1,none,3
shape8,no_change2,6,60,same,9,617.7,v001,same,shape8_no_change2,1,none,3
shape5,no_change1,6,61,same,9,415.5,v001,same,shape5_no_change1,1,none,3
shape1,no_change6,6,62,same,9,720.6,v001,same,shape1_no_change6,1,none,3
shape4,concave_area2,7,63,different,9,735.9,v001,different,shape4_concave_area2,1,concave,3
shape3,concave_nofill_area1,7,64,same,9,559.3,v001,different,shape3_concave_nofill_area1,0,concave_nofill,3
catch_shape,change3,7,65,different,9,606.2,v001,different,catch_shape_change3,1,none,3
shape6,concave_nofill_area1,7,66,different,8,457.8,v001,different,shape6_concave_nofill_area1,1,concave_nofill,3
shape7,concave_nofill_area2,7,67,different,8,485.5,v001,different,shape7_concave_nofill_area2,1,concave_nofill,3
shape5,no_change6,7,68,same,8,1236.8,v001,same,shape5_no_change6,1,none,3
shape2,concave_nofill_area1,7,69,different,9,511.5,v001,different,shape2_concave_nofill_area1,1,concave_nofill,3
shape1,no_change3,7,70,same,8,369.3,v001,same,shape1_no_change3,1,none,3
shape8,concave_nofill_area1,7,71,different,8,673.7,v001,different,shape8_concave_nofill_area1,1,concave_nofill,3
shape1,concave_area2,8,72,different,8,530.7,v001,different,shape1_concave_area2,1,concave,3
shape7,no_change6,8,73,same,9,551.6,v001,same,shape7_no_change6,1,none,3
shape4,no_change4,8,74,same,9,558,v001,same,shape4_no_change4,1,none,3
catch_shape,change1,8,75,different,9,2618.9,v001,different,catch_shape_change1,1,none,3
shape2,no_change6,8,76,same,9,524.1,v001,same,shape2_no_change6,1,none,3
shape6,no_change3,8,77,same,9,476.1,v001,same,shape6_no_change3,1,none,3
shape3,concave_area2,8,78,same,9,483,v001,different,shape3_concave_area2,0,concave,3
shape5,concave_area1,8,79,same,9,553.1,v001,different,shape5_concave_area1,0,concave,3
shape8,concave_area1,8,80,different,9,820.4,v001,different,shape8_concave_area1,1,concave,3
shape7,convex_area1,9,81,different,9,1607.3,v001,different,shape7_convex_area1,1,convex,3
shape8,no_change1,9,82,same,9,796,v001,same,shape8_no_change1,1,none,3
catch_shape,change4,9,83,different,9,802.5,v001,different,catch_shape_change4,1,none,3
shape6,no_change4,9,84,same,9,762.3,v001,same,shape6_no_change4,1,none,3
shape1,convex_area1,9,85,different,9,674.5,v001,different,shape1_convex_area1,1,convex,3
shape2,concave_nofill_area2,9,86,different,9,529.9,v001,different,shape2_concave_nofill_area2,1,concave_nofill,3
shape3,concave_area1,9,87,same,9,1181.4,v001,different,shape3_concave_area1,0,concave,3
shape4,no_change3,9,88,same,9,701.2,v001,same,shape4_no_change3,1,none,3
shape5,convex_area2,9,89,different,9,489.9,v001,different,shape5_convex_area2,1,convex,3
shape3,no_change3,10,90,same,9,414.4,v001,same,shape3_no_change3,1,none,3
shape4,concave_nofill_area2,10,91,different,9,522.3,v001,different,shape4_concave_nofill_area2,1,concave_nofill,3
shape2,convex_area1,10,92,different,9,428.9,v001,different,shape2_convex_area1,1,convex,3
shape1,concave_area1,10,93,same,9,463.8,v001,different,shape1_concave_area1,0,concave,3
shape6,convex_area2,10,94,different,9,497,v001,different,shape6_convex_area2,1,convex,3
shape5,concave_nofill_area1,10,95,different,9,462.6,v001,different,shape5_concave_nofill_area1,1,concave_nofill,3
shape8,concave_area2,10,96,different,8,639.5,v001,different,shape8_concave_area2,1,concave,3
catch_shape,no_change4,10,97,same,9,1351.5,v001,same,catch_shape_no_change4,1,none,3
shape7,concave_area2,10,98,same,9,925.5,v001,different,shape7_concave_area2,0,concave,3
