shape,changeType,blockNum,trialID,response,confidence,rt,experimentVersion,correctAnswer,fullShapeName,responded_correctly,analysisChangeType,subject
shape3,no_change2,0,0,same,9,9077,v001,same,shape3_no_change2,1,none,1
shape1,no_change1,0,1,same,9,3606,v001,same,shape1_no_change1,1,none,1
shape5,no_change3,0,2,same,8,2494,v001,same,shape5_no_change3,1,none,1
shape6,no_change1,0,3,same,8,4671,v001,same,shape6_no_change1,1,none,1
shape2,no_change2,0,4,same,8,2797,v001,same,shape2_no_change2,1,none,1
shape7,no_change3,0,5,same,8,3221,v001,same,shape7_no_change3,1,none,1
shape8,no_change3,0,6,same,9,5870,v001,same,shape8_no_change3,1,none,1
shape4,no_change4,0,7,same,8,2919,v001,same,shape4_no_change4,1,none,1
catch_shape,no_change5,0,8,same,9,2295,v001,same,catch_shape_no_change5,1,none,1
shape7,no_change1,1,9,same,7,5517,v001,same,shape7_no_change1,1,none,1
shape1,no_change2,1,10,same,8,2645,v001,same,shape1_no_change2,1,none,1
shape3,concave_area2,1,11,same,8,3551,v001,different,shape3_concave_area2,0,concave,1
shape2,no_change6,1,12,different,7,6142,v001,same,shape2_no_change6,0,none,1
shape5,no_change5,1,13,different,7,3935,v001,same,shape5_no_change5,0,none,1
shape4,no_change6,1,14,same,8,1830,v001,same,shape4_no_change6,1,none,1
catch_shape,no_change3,1,15,same,9,2135,v001,same,catch_shape_no_change3,1,none,1
shape6,no_change6,1,16,same,7,4655,v001,same,shape6_no_change6,1,none,1
shape8,no_change1,1,17,same,8,2278,v001,same,shape8_no_change1,1,none,1
shape1,no_change3,2,18,same,8,3334,v001,same,shape1_no_change3,1,none,1
shape2,no_change4,2,19,different,8,2478,v001,same,shape2_no_change4,0,none,1
shape3,no_change4,2,20,different,5,2022,v001,same,shape3_no_change4,0,none,1
shape7,no_change2,2,21,different,6,2118,v001,same,shape7_no_change2,0,none,1
shape4,no_change2,2,22,same,6,2998,v001,same,shape4_no_change2,1,none,1
shape6,no_change3,2,23,different,5,3463,v001,same,shape6_no_change3,0,none,1
shape5,no_change2,2,24,different,5,2272,v001,same,shape5_no_change2,0,none,1
catch_shape,no_change2,2,25,same,8,4007,v001,same,catch_shape_no_change2,1,none,1
shape8,no_change2,2,26,different,5,1366,v001,same,shape8_no_change2,0,none,1
shape2,no_change3,3,27,different,4,2710,v001,same,shape2_no_change3,0,none,1
shape4,no_change3,3,28,same,8,1526,v001,same,shape4_no_change3,1,none,1
shape7,no_change4,3,29,different,9,2214,v001,same,shape7_no_change4,0,none,1
shape5,concave_nofill_area1,3,30,different,8,1615,v001,different,shape5_concave_nofill_area1,1,concave_nofill,1
shape6,no_change2,3,31,same,8,1871,v001,same,shape6_no_change2,1,none,1
shape8,concave_area1,3,32,different,8,3814,v001,different,shape8_concave_area1,1,concave,1
catch_shape,change1,3,33,different,9,1790,v001,different,catch_shape_change1,1,none,1
shape1,no_change4,3,34,same,8,3286,v001,same,shape1_no_change4,1,none,1
