folder_name,gt_distance,distance_to_boundary,distance_to_centroid,frame_used
flipped_F_convex_1,1,179.0,218.7060127084923,283
flipped_A_concave_9,9,221.0,260.5918949670072,239
D_concave_7,7,178.0,219.169355954556,274
flipped_A_convex_2,2,198.0,223.90876994981448,277
H_concave_5,5,501.0,229.82620656788416,275
E_convex_7,7,197.0,243.23043746600018,260
flipped_H_convex_0,0,176.0,224.06313936347183,276
flipped_warmup_8,8,188.0,236.59408062063537,264
flipped_G_concave_2,2,176.0,206.3563655243597,290
flipped_A_concave_0,0,156.0,196.25559689074657,303
warmup_7,7,174.0,223.13443176402396,277
flipped_H_concave_1,1,196.0,206.41568473401827,291
E_convex_9,9,230.0,275.5594584003808,228
flipped_A_convex_6,6,214.0,242.05930783504644,260
B_convex_5,5,188.0,223.6509448402403,277
warmup_9,9,206.0,255.05488123679518,245
flipped_A_convex_7,7,221.0,249.22387229282913,252
flipped_E_concave_6,6,212.0,235.65573070562115,262
flipped_exp_5,5,162.0,210.97265152839347,289
flipped_A_concave_8,8,201.0,241.11098256625706,258
flipped_E_concave_1,1,190.0,212.3420340095044,281
flipped_C_concave_8,8,204.0,237.25223548017152,261
flipped_F_convex_3,3,191.0,227.4832146713517,274
exp_2,2,150.0,198.76001388411487,301
flipped_E_concave_5,5,209.0,232.62068563605496,265
flipped_D_concave_9,9,210.0,251.9340465486906,242
flipped_F_convex_0,0,180.0,215.00636754010304,286
flipped_E_concave_7,7,220.0,245.51530618508633,253
B_concave_6,6,172.0,207.83507868908742,287
flipped_D_concave_6,6,170.0,212.1998363415551,281
flipped_A_concave_5,5,176.0,216.10766100367061,283
D_concave_5,5,169.0,209.64009757090665,286
flipped_E_convex_0,0,166.0,211.83203818716294,292
flipped_G_concave_4,4,206.0,212.77480372141707,282
flipped_B_convex_2,2,175.0,209.95400680475325,290
flipped_G_convex_2,2,230.0,266.457734822807,259
flipped_G_concave_1,1,174.0,205.45868372124983,294
A_concave_6,6,182.0,221.3428333000997,278
flipped_F_concave_2,2,179.0,214.3835850659921,284
flipped_B_concave_9,9,201.0,243.0106408491871,248
flipped_B_convex_9,9,233.0,268.04960914141674,233
flipped_warmup_6,6,167.0,216.33506995127885,284
flipped_B_convex_4,4,184.0,220.37709214591155,281
D_concave_2,2,163.0,200.15926807153826,298
flipped_B_convex_7,7,206.0,237.05630546800938,265
F_concave_1,1,168.0,208.2509137672985,288
warmup_5,5,162.0,211.21143071165326,289
flipped_E_convex_6,6,191.0,237.08115024229434,267
flipped_C_concave_4,4,168.0,202.69724678985438,290
flipped_exp_7,7,173.0,221.96239346352488,278
flipped_B_concave_2,2,146.0,187.42667260796074,304
flipped_C_convex_9,9,225.0,255.23890540027816,240
flipped_warmup_0,0,144.0,192.7042489988591,307
flipped_G_convex_0,0,218.0,254.56192446847228,267
H_convex_5,5,206.0,249.10852742942933,256
flipped_A_convex_5,5,207.0,237.28071448037304,264
E_convex_2,2,175.0,219.00528884862428,284
E_concave_9,9,252.0,276.7271060080337,221
exp_8,8,187.0,235.0623775126633,264
flipped_E_convex_8,8,213.0,258.30079861025825,247
flipped_B_convex_0,0,168.0,202.28812884088475,298
flipped_C_convex_3,3,175.0,212.38429476548262,292
B_concave_8,8,199.0,228.02651550384638,267
G_convex_4,4,501.0,249.9539022018814,251
B_convex_3,3,181.0,215.86214500297427,285
flipped_G_concave_8,8,235.0,244.92876574132526,253
flipped_exp_3,3,154.0,202.04059498983526,297
G_convex_1,1,501.0,242.10331958760213,263
C_convex_6,6,190.0,231.49154790585325,279
H_convex_3,3,195.0,236.8172100586069,264
flipped_D_convex_2,2,178.0,208.46595593709222,287
flipped_E_convex_5,5,183.0,227.802653011452,273
G_concave_9,9,501.0,243.02885887656603,234
C_concave_1,1,164.0,191.55075827517572,302
flipped_E_convex_4,4,182.0,227.54057342838937,276
flipped_exp_1,1,146.0,194.59055733508856,305
flipped_A_convex_3,3,196.0,227.22354558112752,272
flipped_G_concave_3,3,196.0,214.6873036486037,286
