folder_name,gt_distance,distance_to_boundary,distance_to_centroid,frame_used
flipped_F_convex_1,1,140.0,218.7060127084923,283
flipped_A_concave_9,9,192.0,260.5918949670072,239
D_concave_7,7,146.0,219.169355954556,274
flipped_A_convex_2,2,144.0,223.90876994981448,277
H_concave_5,5,129.0,229.82620656788416,275
E_convex_7,7,164.0,243.23043746600018,260
flipped_H_convex_0,0,136.0,224.06313936347183,276
flipped_warmup_8,8,163.0,236.59408062063537,264
flipped_G_concave_2,2,134.0,206.3563655243597,290
flipped_A_concave_0,0,127.0,196.25559689074657,303
warmup_7,7,149.0,223.13443176402396,277
flipped_H_concave_1,1,115.0,206.41568473401827,291
E_convex_9,9,196.0,275.5594584003808,228
flipped_A_convex_6,6,166.0,242.05930783504644,260
B_convex_5,5,152.0,223.6509448402403,277
warmup_9,9,181.0,255.05488123679518,245
flipped_A_convex_7,7,174.0,249.22387229282913,252
flipped_E_concave_6,6,155.0,235.65573070562115,262
flipped_exp_5,5,137.0,210.97265152839347,289
flipped_A_concave_8,8,172.0,241.11098256625706,258
flipped_E_concave_1,1,132.0,212.3420340095044,281
flipped_C_concave_8,8,164.0,237.25223548017152,261
flipped_F_convex_3,3,150.0,227.4832146713517,274
exp_2,2,124.0,198.76001388411487,301
flipped_E_concave_5,5,153.0,232.62068563605496,265
flipped_D_concave_9,9,183.0,251.9340465486906,242
flipped_F_convex_0,0,136.0,215.00636754010304,286
flipped_E_concave_7,7,167.0,245.51530618508633,253
B_concave_6,6,129.0,207.83507868908742,287
flipped_D_concave_6,6,143.0,212.1998363415551,281
flipped_A_concave_5,5,147.0,216.10766100367061,283
D_concave_5,5,140.0,209.64009757090665,286
flipped_E_convex_0,0,132.0,211.83203818716294,292
flipped_G_concave_4,4,137.0,212.77480372141707,282
flipped_B_convex_2,2,139.0,209.95400680475325,290
flipped_G_convex_2,2,189.0,266.457734822807,259
flipped_G_concave_1,1,130.0,205.45868372124983,294
A_concave_6,6,153.0,221.3428333000997,278
flipped_F_concave_2,2,134.0,214.3835850659921,284
flipped_B_concave_9,9,163.0,243.0106408491871,248
flipped_B_convex_9,9,197.0,268.04960914141674,233
flipped_warmup_6,6,142.0,216.33506995127885,284
flipped_B_convex_4,4,148.0,220.37709214591155,281
D_concave_2,2,132.0,200.15926807153826,298
flipped_B_convex_7,7,164.0,237.05630546800938,265
F_concave_1,1,123.0,208.2509137672985,288
warmup_5,5,137.0,211.21143071165326,289
flipped_E_convex_6,6,157.0,237.08115024229434,267
flipped_C_concave_4,4,121.0,202.69724678985438,290
flipped_exp_7,7,148.0,221.96239346352488,278
flipped_B_concave_2,2,106.0,187.42667260796074,304
flipped_C_convex_9,9,195.0,255.23890540027816,240
flipped_warmup_0,0,118.0,192.7042489988591,307
flipped_G_convex_0,0,177.0,254.56192446847228,267
H_convex_5,5,163.0,249.10852742942933,256
flipped_A_convex_5,5,161.0,237.28071448037304,264
E_convex_2,2,137.0,219.00528884862428,284
E_concave_9,9,193.0,276.7271060080337,221
exp_8,8,162.0,235.0623775126633,264
flipped_E_convex_8,8,176.0,258.30079861025825,247
flipped_B_convex_0,0,131.0,202.28812884088475,298
flipped_C_convex_3,3,146.0,212.38429476548262,292
B_concave_8,8,149.0,228.02651550384638,267
G_convex_4,4,159.0,249.9539022018814,251
B_convex_3,3,144.0,215.86214500297427,285
flipped_G_concave_8,8,173.0,244.92876574132526,253
flipped_exp_3,3,129.0,202.04059498983526,297
G_convex_1,1,156.0,242.10331958760213,263
C_convex_6,6,158.0,231.49154790585325,279
H_convex_3,3,152.0,236.8172100586069,264
flipped_D_convex_2,2,136.0,208.46595593709222,287
flipped_E_convex_5,5,144.0,227.802653011452,273
G_concave_9,9,182.0,243.02885887656603,234
C_concave_1,1,115.0,191.55075827517572,302
flipped_E_convex_4,4,148.0,227.54057342838937,276
flipped_exp_1,1,120.0,194.59055733508856,305
flipped_A_convex_3,3,146.0,227.22354558112752,272
flipped_G_concave_3,3,137.0,214.6873036486037,286
flipped_F_concave_5,5,147.0,225.91963012771393,272
flipped_G_concave_7,7,158.0,231.3491829417941,266
B_concave_5,5,130.0,204.91133046409632,292
flipped_G_convex_7,7,190.0,279.204051070691,235
flipped_H_convex_2,2,147.0,232.49804855508543,268
flipped_G_concave_6,6,153.0,224.3440156385731,273
flipped_C_convex_4,4,150.0,217.98824435779892,288
A_concave_3,3,137.0,205.3441933300314,291
H_concave_8,8,163.0,253.84062874306971,250
A_concave_2,2,140.0,204.88854332874678,295
D_convex_6,6,159.0,234.30966333786736,270
flipped_warmup_1,1,120.0,194.59055733508856,305
flipped_G_convex_9,9,228.0,302.7107528981121,203
E_convex_3,3,144.0,224.04750779794736,280
F_concave_0,0,124.0,204.39216214330904,292
flipped_E_concave_2,2,135.0,220.0706568155668,277
D_convex_0,0,133.0,204.7717065449353,295
D_concave_0,0,109.0,182.2069275598425,306
H_concave_6,6,126.0,220.93613239227298,270
flipped_B_concave_4,4,139.0,205.64564215448922,297
flipped_F_convex_2,2,146.0,225.01552845962073,278
flipped_D_concave_3,3,127.0,201.5808268608908,294
A_concave_4,4,142.0,212.19696804893346,287
flipped_F_concave_8,8,159.0,246.48538043230946,247
H_convex_8,8,189.0,278.69157793724906,231
exp_6,6,141.0,215.6199850729492,284
flipped_A_convex_8,8,188.0,266.39080534065283,239
F_convex_8,8,182.0,260.716728328868,241
G_convex_8,8,194.0,282.3541404950071,222
B_concave_0,0,111.0,186.08917237863974,312
flipped_D_convex_8,8,179.0,253.21135657358437,250
exp_0,0,117.0,191.1766719480288,309
flipped_H_concave_0,0,57.0,176.42013113653334,291
flipped_warmup_2,2,125.0,199.36166227746358,301
G_convex_6,6,171.0,263.02052007188325,242
flipped_E_concave_4,4,141.0,227.6127227390062,269
flipped_D_concave_1,1,122.0,191.39238046160943,302
flipped_G_convex_3,3,174.0,256.98501584853835,255
B_convex_6,6,157.0,228.41490764015887,272
exp_4,4,133.0,207.23897382988238,293
flipped_G_convex_5,5,148.0,263.1968100314867,247
D_concave_8,8,162.0,231.97536340827926,261
D_concave_4,4,132.0,202.7182736147233,290
flipped_A_convex_0,0,143.0,218.41876665454706,284
flipped_C_convex_8,8,178.0,246.4257050964449,259
B_concave_7,7,143.0,217.81625069056622,280
flipped_C_convex_7,7,165.0,230.50522105596178,272
flipped_D_convex_7,7,165.0,237.75775812367195,263
E_convex_1,1,136.0,215.7571926517093,288
F_concave_4,4,134.0,221.36857589987218,276
flipped_D_convex_4,4,150.0,224.3591103844345,279
flipped_F_concave_6,6,151.0,231.36209471494737,267
D_convex_3,3,146.0,221.9447782971244,283
C_concave_2,2,134.0,200.6140598745485,298
flipped_C_concave_7,7,157.0,224.4642588540281,274
H_concave_9,9,187.0,269.6131437437045,231
C_convex_5,5,143.0,213.40645918852286,284
flipped_H_concave_3,3,109.0,190.55221539833744,283
H_concave_7,7,149.0,239.0217637702444,263
H_convex_4,4,160.0,248.78229435842255,260
F_concave_3,3,131.0,215.3680727679125,280
flipped_F_convex_4,4,154.0,233.40331546834736,270
H_convex_7,7,174.0,254.8280764578887,244
flipped_A_convex_1,1,145.0,222.01597187071752,280
flipped_B_concave_3,3,111.0,192.78911470213595,300
flipped_B_convex_1,1,136.0,207.4495356877563,293
E_concave_8,8,173.0,257.40953424688144,240
F_convex_7,7,170.0,249.20200248189474,254
H_convex_1,1,145.0,232.0744407358274,272
warmup_4,4,133.0,207.23897382988238,293
F_convex_9,9,203.0,281.01614113366037,222
flipped_E_concave_3,3,145.0,225.32159404779821,273
flipped_D_convex_1,1,135.0,207.70242287621463,291
C_concave_3,3,122.0,199.671969238462,294
flipped_B_convex_8,8,178.0,248.57146548469385,252
F_concave_9,9,178.0,268.21601295868805,228
flipped_A_concave_7,7,143.0,223.3880910357776,271
flipped_B_concave_1,1,106.0,185.91253018632176,308
flipped_H_convex_9,9,204.0,289.245180158493,212
flipped_C_concave_5,5,143.0,211.24018139092288,286
flipped_F_concave_7,7,159.0,238.0268977096257,260
flipped_G_concave_0,0,127.0,198.66160157519442,299
