folder_name,gt_distance,distance_to_boundary,distance_to_centroid,frame_used
flipped_F_convex_1,1,154.0,218.7060127084923,283
flipped_A_concave_9,9,202.0,260.5918949670072,239
D_concave_7,7,156.0,219.169355954556,274
flipped_A_convex_2,2,160.0,223.90876994981448,277
H_concave_5,5,154.0,229.82620656788416,275
E_convex_7,7,174.0,243.23043746600018,260
flipped_H_convex_0,0,150.0,224.06313936347183,276
flipped_warmup_8,8,170.0,236.59408062063537,264
flipped_G_concave_2,2,148.0,206.3563655243597,290
flipped_A_concave_0,0,137.0,196.25559689074657,303
warmup_7,7,156.0,223.13443176402396,277
flipped_H_concave_1,1,133.0,206.41568473401827,291
E_convex_9,9,206.0,275.5594584003808,228
flipped_A_convex_6,6,182.0,242.05930783504644,260
B_convex_5,5,162.0,223.6509448402403,277
warmup_9,9,188.0,255.05488123679518,245
flipped_A_convex_7,7,190.0,249.22387229282913,252
flipped_E_concave_6,6,171.0,235.65573070562115,262
flipped_exp_5,5,144.0,210.97265152839347,289
flipped_A_concave_8,8,183.0,241.11098256625706,258
flipped_E_concave_1,1,149.0,212.3420340095044,281
flipped_C_concave_8,8,176.0,237.25223548017152,261
flipped_F_convex_3,3,162.0,227.4832146713517,274
exp_2,2,131.0,198.76001388411487,301
flipped_E_concave_5,5,168.0,232.62068563605496,265
flipped_D_concave_9,9,192.0,251.9340465486906,242
flipped_F_convex_0,0,149.0,215.00636754010304,286
flipped_E_concave_7,7,182.0,245.51530618508633,253
B_concave_6,6,143.0,207.83507868908742,287
flipped_D_concave_6,6,151.0,212.1998363415551,281
flipped_A_concave_5,5,158.0,216.10766100367061,283
D_concave_5,5,149.0,209.64009757090665,286
flipped_E_convex_0,0,142.0,211.83203818716294,292
flipped_G_concave_4,4,155.0,212.77480372141707,282
flipped_B_convex_2,2,149.0,209.95400680475325,290
flipped_G_convex_2,2,203.0,266.457734822807,259
flipped_G_concave_1,1,142.0,205.45868372124983,294
A_concave_6,6,163.0,221.3428333000997,278
flipped_F_concave_2,2,150.0,214.3835850659921,284
flipped_B_concave_9,9,176.0,243.0106408491871,248
flipped_B_convex_9,9,207.0,268.04960914141674,233
flipped_warmup_6,6,149.0,216.33506995127885,284
flipped_B_convex_4,4,158.0,220.37709214591155,281
D_concave_2,2,140.0,200.15926807153826,298
flipped_B_convex_7,7,179.0,237.05630546800938,265
F_concave_1,1,136.0,208.2509137672985,288
warmup_5,5,144.0,211.21143071165326,289
flipped_E_convex_6,6,168.0,237.08115024229434,267
flipped_C_concave_4,4,137.0,202.69724678985438,290
flipped_exp_7,7,155.0,221.96239346352488,278
flipped_B_concave_2,2,120.0,187.42667260796074,304
