2025-03-22 21:22:40,922 [INFO] Logger initialized.
2025-03-22 21:22:40,922 [INFO] Skipping collision detection; reusing existing iou_{X}.json data only.
2025-03-22 21:22:40,922 [INFO] Reading name mapping from /home/projects/bagon/andreyg/Projects/Object_reps_neural/Programming/detr/DATA_ANALYSIS/data_org/name_mapping.json...
2025-03-22 21:22:40,922 [INFO] Loaded name mapping with 96 entries.
2025-03-22 21:22:40,923 [INFO] Reading participant CSV from /home/projects/bagon/andreyg/Projects/Object_reps_neural/Programming/detr/DATA_ANALYSIS/data_org/experiment2-CollisionDetection-Data.csv...
2025-03-22 21:22:40,939 [INFO] CSV loaded with 13974 rows and 10 columns.
2025-03-22 21:22:40,940 [INFO] Reading precomputed collision times from iou_{thr}.json files...
2025-03-22 21:22:41,139 [INFO] Collision time loading complete.
2025-03-22 21:23:21,047 [INFO] Done creating results for full_resolution_resnet101, IoU=0.05
2025-03-22 21:24:02,506 [INFO] Done creating results for full_resolution_resnet101, IoU=0.1
2025-03-22 21:24:43,931 [INFO] Done creating results for full_resolution_resnet101, IoU=0.15
2025-03-22 21:25:25,606 [INFO] Done creating results for full_resolution_resnet101, IoU=0.2
2025-03-22 21:26:06,468 [INFO] Done creating results for full_resolution_resnet101, IoU=0.25
2025-03-22 21:26:45,588 [INFO] Done creating results for full_resolution_resnet101, IoU=0.3
2025-03-22 21:27:24,660 [INFO] Done creating results for full_resolution_resnet101, IoU=0.35
2025-03-22 21:28:03,575 [INFO] Done creating results for full_resolution_resnet101, IoU=0.4
2025-03-22 21:28:45,567 [INFO] Done creating results for full_resolution_resnet101, IoU=0.45
2025-03-22 21:29:25,104 [INFO] Done creating results for full_resolution_resnet101, IoU=0.5
2025-03-22 21:30:05,483 [INFO] Done creating results for full_resolution_resnet101, IoU=0.55
2025-03-22 21:30:49,619 [INFO] Done creating results for full_resolution_resnet101, IoU=0.6
2025-03-22 21:31:29,117 [INFO] Done creating results for full_resolution_resnet101, IoU=0.65
2025-03-22 21:32:08,878 [INFO] Done creating results for full_resolution_resnet101, IoU=0.7
2025-03-22 21:32:48,742 [INFO] Done creating results for full_resolution_resnet101, IoU=0.75
2025-03-22 21:33:28,610 [INFO] Done creating results for full_resolution_resnet101, IoU=0.8
2025-03-22 21:34:09,357 [INFO] Done creating results for full_resolution_resnet101, IoU=0.85
2025-03-22 21:34:50,228 [INFO] Done creating results for full_resolution_resnet101, IoU=0.9
2025-03-22 21:35:31,523 [INFO] Done creating results for full_resolution_resnet101, IoU=0.95
2025-03-22 21:35:31,523 [INFO] All analyses complete. Exiting.
