2025-03-22 19:57:51,028 [INFO] Logger initialized.
2025-03-22 19:57:51,028 [INFO] Skipping collision detection; reusing existing iou_{X}.json data only.
2025-03-22 19:57:51,028 [INFO] Reading name mapping from /home/projects/bagon/andreyg/Projects/Object_reps_neural/Programming/detr/DATA_ANALYSIS/data_org/name_mapping.json...
2025-03-22 19:57:51,028 [INFO] Loaded name mapping with 96 entries.
2025-03-22 19:57:51,028 [INFO] Reading participant CSV from /home/projects/bagon/andreyg/Projects/Object_reps_neural/Programming/detr/DATA_ANALYSIS/data_org/experiment2-CollisionDetection-Data.csv...
2025-03-22 19:57:51,048 [INFO] CSV loaded with 13974 rows and 10 columns.
2025-03-22 19:57:51,049 [INFO] Reading precomputed collision times from iou_{thr}.json files...
2025-03-22 19:57:51,249 [INFO] Collision time loading complete.
2025-03-22 19:58:29,440 [INFO] Done creating results for full_resolution_resnet101, IoU=0.05
2025-03-22 19:59:08,041 [INFO] Done creating results for full_resolution_resnet101, IoU=0.1
2025-03-22 19:59:47,049 [INFO] Done creating results for full_resolution_resnet101, IoU=0.15
2025-03-22 20:00:26,226 [INFO] Done creating results for full_resolution_resnet101, IoU=0.2
2025-03-22 20:01:04,587 [INFO] Done creating results for full_resolution_resnet101, IoU=0.25
2025-03-22 20:01:42,673 [INFO] Done creating results for full_resolution_resnet101, IoU=0.3
2025-03-22 20:02:20,894 [INFO] Done creating results for full_resolution_resnet101, IoU=0.35
2025-03-22 20:02:58,779 [INFO] Done creating results for full_resolution_resnet101, IoU=0.4
2025-03-22 20:03:36,976 [INFO] Done creating results for full_resolution_resnet101, IoU=0.45
