"","fullShapeName","mean","std","n","se","ci"
"23","shape2_no_change5",0.821428571428571,0.386459117308221,56,0.0516427718200872,0.101219832767371
"24","shape2_no_change6",0.803571428571429,0.400891862868637,56,0.0535714285714286,0.105
"25","shape3_concave_area1",0.267857142857143,0.446850450011326,56,0.0597129031095764,0.11703729009477
"26","shape3_concave_area2",0.482142857142857,0.504203113061373,56,0.0673769750864465,0.132058871169435
"27","shape3_concave_nofill_area1",0.678571428571429,0.471251442520786,56,0.0629736228905634,0.123428300865504
"28","shape3_concave_nofill_area2",0.571428571428571,0.499350227145887,56,0.0667284809281305,0.130787822619136
"29","shape3_convex_area1",0.375,0.488504210459197,56,0.0652791209833867,0.127947077127438
"30","shape3_convex_area2",0.482142857142857,0.504203113061373,56,0.0673769750864465,0.132058871169435
"31","shape3_no_change1",0.821428571428571,0.386459117308221,56,0.0516427718200872,0.101219832767371
"32","shape3_no_change2",0.839285714285714,0.370590963648147,56,0.049522300593063,0.0970637091624034
"33","shape3_no_change3",0.892857142857143,0.31209389196618,56,0.0417053005800816,0.0817423891369599
"34","shape3_no_change4",0.785714285714286,0.414039335605413,56,0.0553283335172488,0.108443533693808
"35","shape3_no_change5",0.910714285714286,0.287736351183176,56,0.0384503872802825,0.0753627590693537
"36","shape3_no_change6",0.857142857142857,0.3530939318019,56,0.0471841613625583,0.0924809562706143
"37","shape4_concave_area1",0.410714285714286,0.496415724396973,56,0.0663363415035954,0.130019229347047
"38","shape4_concave_area2",0.946428571428571,0.227207782928703,56,0.0303619171188469,0.0595093575529398
"39","shape4_concave_nofill_area1",0.875,0.333711906235957,56,0.0445941292507922,0.0874044933315528
"40","shape4_concave_nofill_area2",0.910714285714286,0.287736351183176,56,0.0384503872802825,0.0753627590693537
"41","shape4_convex_area1",0.696428571428571,0.463960925358742,56,0.0619993865551075,0.121518797648011
"42","shape4_convex_area2",0.767857142857143,0.426020547032073,56,0.0569293902400011,0.111581604870402
"43","shape4_no_change1",0.785714285714286,0.414039335605413,56,0.0553283335172488,0.108443533693808
"44","shape4_no_change2",0.821428571428571,0.386459117308221,56,0.0516427718200872,0.101219832767371
"45","shape4_no_change3",0.821428571428571,0.386459117308221,56,0.0516427718200872,0.101219832767371
"46","shape4_no_change4",0.892857142857143,0.31209389196618,56,0.0417053005800816,0.0817423891369599
"47","shape4_no_change5",0.875,0.333711906235957,56,0.0445941292507922,0.0874044933315528
"48","shape4_no_change6",0.875,0.333711906235957,56,0.0445941292507922,0.0874044933315528
"49","shape5_concave_area1",0.464285714285714,0.503236279740196,56,0.0672477765493766,0.131805642036778
"50","shape5_concave_area2",0.625,0.488504210459197,56,0.0652791209833867,0.127947077127438
"51","shape5_concave_nofill_area1",0.892857142857143,0.31209389196618,56,0.0417053005800816,0.0817423891369599
"52","shape5_concave_nofill_area2",0.910714285714286,0.287736351183176,56,0.0384503872802825,0.0753627590693537
"53","shape5_convex_area1",0.821428571428571,0.386459117308221,56,0.0516427718200872,0.101219832767371
"54","shape5_convex_area2",0.821428571428571,0.386459117308221,56,0.0516427718200872,0.101219832767371
"55","shape5_no_change1",0.910714285714286,0.287736351183176,56,0.0384503872802825,0.0753627590693537
"56","shape5_no_change2",0.767857142857143,0.426020547032073,56,0.0569293902400011,0.111581604870402
"57","shape5_no_change3",0.803571428571429,0.400891862868637,56,0.0535714285714286,0.105
"58","shape5_no_change4",0.839285714285714,0.370590963648147,56,0.049522300593063,0.0970637091624034
"59","shape5_no_change5",0.821428571428571,0.386459117308221,56,0.0516427718200872,0.101219832767371
"60","shape5_no_change6",0.767857142857143,0.426020547032073,56,0.0569293902400011,0.111581604870402
"61","shape6_concave_area1",0.410714285714286,0.496415724396973,56,0.0663363415035954,0.130019229347047
"62","shape6_concave_area2",0.607142857142857,0.492805380304581,56,0.0658538889806635,0.1290736224021
"63","shape6_concave_nofill_area1",0.767857142857143,0.426020547032073,56,0.0569293902400011,0.111581604870402
"64","shape6_concave_nofill_area2",0.785714285714286,0.414039335605413,56,0.0553283335172488,0.108443533693808
"65","shape6_convex_area1",0.875,0.333711906235957,56,0.0445941292507922,0.0874044933315528
"66","shape6_convex_area2",0.857142857142857,0.3530939318019,56,0.0471841613625583,0.0924809562706143
"67","shape6_no_change1",0.857142857142857,0.3530939318019,56,0.0471841613625583,0.0924809562706143
"68","shape6_no_change2",0.928571428571429,0.259870097418821,56,0.0347266024860284,0.0680641408726157
"69","shape6_no_change3",0.857142857142857,0.3530939318019,56,0.0471841613625583,0.0924809562706143
"70","shape6_no_change4",0.928571428571429,0.259870097418821,56,0.0347266024860284,0.0680641408726157
"71","shape6_no_change5",0.910714285714286,0.287736351183176,56,0.0384503872802825,0.0753627590693537
"72","shape6_no_change6",0.964285714285714,0.187256335179708,56,0.025023180348049,0.0490454334821759
"73","shape7_concave_area1",0.303571428571429,0.463960925358742,56,0.0619993865551075,0.121518797648011
"74","shape7_concave_area2",0.607142857142857,0.492805380304581,56,0.0658538889806635,0.1290736224021
"75","shape7_concave_nofill_area1",0.857142857142857,0.3530939318019,56,0.0471841613625583,0.0924809562706143
"76","shape7_concave_nofill_area2",0.839285714285714,0.370590963648147,56,0.049522300593063,0.0970637091624034
"77","shape7_convex_area1",0.821428571428571,0.386459117308221,56,0.0516427718200872,0.101219832767371
"78","shape7_convex_area2",0.785714285714286,0.414039335605413,56,0.0553283335172488,0.108443533693808
"79","shape7_no_change1",0.892857142857143,0.31209389196618,56,0.0417053005800816,0.0817423891369599
"80","shape7_no_change2",0.875,0.333711906235957,56,0.0445941292507922,0.0874044933315528
"81","shape7_no_change3",0.946428571428571,0.227207782928703,56,0.0303619171188469,0.0595093575529398
"82","shape7_no_change4",0.875,0.333711906235957,56,0.0445941292507922,0.0874044933315528
"83","shape7_no_change5",0.821428571428571,0.386459117308221,56,0.0516427718200872,0.101219832767371
"84","shape7_no_change6",0.892857142857143,0.31209389196618,56,0.0417053005800816,0.0817423891369599
"85","shape8_concave_area1",0.428571428571429,0.499350227145887,56,0.0667284809281305,0.130787822619136
"86","shape8_concave_area2",0.660714285714286,0.477751769485737,56,0.0638422656193083,0.125130840613844
"87","shape8_concave_nofill_area1",0.857142857142857,0.3530939318019,56,0.0471841613625583,0.0924809562706143
"88","shape8_concave_nofill_area2",0.839285714285714,0.370590963648147,56,0.049522300593063,0.0970637091624034
"89","shape8_convex_area1",0.714285714285714,0.455842305838552,56,0.0609144903873173,0.119392401159142
"90","shape8_convex_area2",0.910714285714286,0.287736351183176,56,0.0384503872802825,0.0753627590693537
"91","shape8_no_change1",0.839285714285714,0.370590963648147,56,0.049522300593063,0.0970637091624034
"92","shape8_no_change2",0.892857142857143,0.31209389196618,56,0.0417053005800816,0.0817423891369599
"93","shape8_no_change3",0.946428571428571,0.227207782928703,56,0.0303619171188469,0.0595093575529398
"94","shape8_no_change4",0.928571428571429,0.259870097418821,56,0.0347266024860284,0.0680641408726157
"95","shape8_no_change5",0.928571428571429,0.259870097418821,56,0.0347266024860284,0.0680641408726157
"96","shape8_no_change6",0.892857142857143,0.31209389196618,56,0.0417053005800816,0.0817423891369599
