"","fullShapeName","mean","std","n","se","ci"
"1","shape1_concave_area1",0.553571428571429,0.501620749793484,56,0.067031892279424,0.131382508867671
"2","shape1_concave_area2",0.785714285714286,0.414039335605413,56,0.0553283335172488,0.108443533693808
"3","shape1_concave_nofill_area1",0.642857142857143,0.483493778415228,56,0.0646095738380922,0.126634764722661
"4","shape1_concave_nofill_area2",0.678571428571429,0.471251442520786,56,0.0629736228905634,0.123428300865504
"5","shape1_convex_area1",0.732142857142857,0.446850450011326,56,0.0597129031095764,0.11703729009477
"6","shape1_convex_area2",0.821428571428571,0.386459117308221,56,0.0516427718200872,0.101219832767371
"7","shape1_no_change1",0.964285714285714,0.187256335179708,56,0.025023180348049,0.0490454334821759
"8","shape1_no_change2",0.875,0.333711906235957,56,0.0445941292507922,0.0874044933315528
"9","shape1_no_change3",0.892857142857143,0.31209389196618,56,0.0417053005800816,0.0817423891369599
"10","shape1_no_change4",0.857142857142857,0.3530939318019,56,0.0471841613625583,0.0924809562706143
"11","shape1_no_change5",0.875,0.333711906235957,56,0.0445941292507922,0.0874044933315528
"12","shape1_no_change6",0.875,0.333711906235957,56,0.0445941292507922,0.0874044933315528
"13","shape2_concave_area1",0.821428571428571,0.386459117308221,56,0.0516427718200872,0.101219832767371
"14","shape2_concave_area2",0.785714285714286,0.414039335605413,56,0.0553283335172488,0.108443533693808
"15","shape2_concave_nofill_area1",0.928571428571429,0.259870097418821,56,0.0347266024860284,0.0680641408726157
"16","shape2_concave_nofill_area2",0.678571428571429,0.471251442520786,56,0.0629736228905634,0.123428300865504
"17","shape2_convex_area1",0.803571428571429,0.400891862868637,56,0.0535714285714286,0.105
"18","shape2_convex_area2",0.875,0.333711906235957,56,0.0445941292507922,0.0874044933315528
"19","shape2_no_change1",0.892857142857143,0.31209389196618,56,0.0417053005800816,0.0817423891369599
"20","shape2_no_change2",0.875,0.333711906235957,56,0.0445941292507922,0.0874044933315528
"21","shape2_no_change3",0.875,0.333711906235957,56,0.0445941292507922,0.0874044933315528
"22","shape2_no_change4",0.892857142857143,0.31209389196618,56,0.0417053005800816,0.0817423891369599
