folder_name,gt_distance,distance_to_boundary,distance_to_centroid,middle_frame
E_concave_9,9,51.0,167.77667316786915,331
exp_8,8,44.0,126.0012604920209,374
flipped_E_convex_8,8,-2.0,132.19806754926623,357
flipped_B_convex_0,0,-97.0,44.919441683180374,408
flipped_C_convex_3,3,13.0,102.7803753794189,402
B_concave_8,8,-28.0,105.5469344542218,377
G_convex_4,4,16.0,146.39057144012554,361
B_convex_3,3,12.0,106.72823528584532,395
flipped_G_concave_8,8,-20.0,131.19967348992898,363
flipped_exp_3,3,11.0,92.1873848221312,407
G_convex_1,1,-109.0,102.61054280614226,373
C_convex_6,6,30.0,117.25413519712326,389
H_convex_3,3,12.0,129.48804040230542,374
flipped_D_convex_2,2,7.0,109.05528395144636,397
flipped_E_convex_5,5,12.0,118.26816857517322,383
G_concave_9,9,501.0,144.18724445736626,344
flipped_E_convex_4,4,15.0,119.7788995650834,386
flipped_exp_1,1,-5.0,83.837711369824,415
flipped_A_convex_3,3,8.0,126.44338933535515,382
flipped_G_concave_3,3,-96.0,71.19195552118912,396
flipped_F_concave_5,5,-76.0,92.27420713028444,382
flipped_G_concave_7,7,-8.0,123.63395559623842,376
B_concave_5,5,-158.0,45.56871035977816,402
flipped_G_convex_7,7,55.0,172.10210062686676,345
flipped_H_convex_2,2,6.0,135.040116165012,378
flipped_G_concave_6,6,15.0,122.01402311238596,383
flipped_C_convex_4,4,15.0,104.2816335187242,398
A_concave_3,3,27.0,104.71357270024889,401
H_concave_8,8,-106.0,88.23207041143202,360
A_concave_2,2,-33.0,86.71949901434229,405
D_convex_6,6,25.0,125.78840350704154,380
flipped_warmup_1,1,-5.0,83.837711369824,415
flipped_G_convex_9,9,86.0,213.12266907113687,313
E_convex_3,3,11.0,115.09307985034155,390
flipped_E_concave_2,2,-3.0,112.18992263412386,387
H_concave_6,6,-136.0,74.43119046720588,380
flipped_B_concave_4,4,-176.0,13.960616746764613,407
flipped_F_convex_2,2,4.0,116.9286961844506,388
flipped_D_concave_3,3,-42.0,73.77686495429361,404
A_concave_4,4,-12.0,91.10821483044273,397
flipped_F_concave_8,8,19.0,135.30261215846792,357
H_convex_8,8,45.0,167.86892665196535,341
exp_6,6,23.0,106.29512895927407,394
flipped_A_convex_8,8,41.0,156.30873767237821,349
F_convex_8,8,45.0,152.04611540862024,351
G_convex_8,8,40.0,176.23730850804114,332
flipped_D_convex_8,8,44.0,148.25024126854515,360
flipped_H_concave_0,0,-103.0,34.829907397197374,401
flipped_warmup_2,2,3.0,89.416152184328,411
G_convex_6,6,21.0,145.98826888649,352
flipped_E_concave_4,4,11.0,122.36581262515848,379
