folder_name,gt_distance,distance_to_boundary,distance_to_centroid,frame_used
flipped_F_convex_1,1,75.0,121.82990800075314,383
flipped_F_convex_1,1,75.0,121.82990800075314,383
flipped_A_concave_9,9,115.0,158.23586488768262,339
D_concave_7,7,-79.0,18.538440969853273,374
flipped_A_convex_2,2,92.0,127.16226870557458,377
H_concave_5,5,-52.0,58.7653088970676,375
E_convex_7,7,89.0,143.41297327091874,360
flipped_H_convex_0,0,75.0,136.8364233965913,376
flipped_warmup_8,8,81.0,135.81628154154862,364
flipped_G_concave_2,2,70.0,109.09435842744695,390
flipped_A_concave_0,0,78.0,112.60244149866692,403
warmup_7,7,68.0,122.70066728051862,377
flipped_H_concave_1,1,66.0,101.60550931036045,391
E_convex_9,9,122.0,175.64602816650807,328
flipped_A_convex_6,6,100.0,140.09884032507495,360
B_convex_5,5,80.0,123.93521747811626,377
warmup_9,9,101.0,154.8955985319142,345
flipped_A_convex_7,7,110.0,149.5183152992202,352
flipped_E_concave_6,6,94.0,133.72278076586647,362
flipped_exp_5,5,55.0,110.28307509385668,389
flipped_A_concave_8,8,92.0,137.540489328319,358
flipped_E_concave_1,1,49.0,98.26977576591922,381
flipped_C_concave_8,8,8.0,94.33158212215771,361
flipped_F_convex_3,3,82.0,129.1232330110515,374
exp_2,2,38.0,94.33342462807525,401
flipped_E_concave_5,5,89.0,126.24131863040196,365
flipped_D_concave_9,9,104.0,151.64460549596774,342
flipped_F_convex_0,0,71.0,118.4290359488388,386
flipped_E_concave_7,7,103.0,142.9111560231791,353
B_concave_6,6,-27.0,58.905115106602324,387
flipped_D_concave_6,6,-9.0,69.78855392604439,381
flipped_A_concave_5,5,68.0,113.79511311288483,383
D_concave_5,5,-23.0,51.8730751901822,386
flipped_E_convex_0,0,58.0,112.39603169180981,392
flipped_G_concave_4,4,-24.0,62.73246852062907,382
flipped_B_convex_2,2,70.0,110.72317977981467,390
flipped_G_convex_2,2,117.0,164.651613687286,359
flipped_G_concave_1,1,25.0,81.05712523184842,394
A_concave_6,6,59.0,106.35672224530046,378
flipped_F_concave_2,2,-92.0,25.997832687694054,384
flipped_B_concave_9,9,88.0,140.525437748982,348
flipped_B_convex_9,9,126.0,168.5929140364232,333
flipped_warmup_6,6,62.0,116.21740385082008,384
flipped_B_convex_4,4,76.0,118.94684207983781,381
D_concave_2,2,22.0,79.11562712674822,398
flipped_B_convex_7,7,68.0,122.96555221902821,365
F_concave_1,1,-33.0,60.93093796453333,388
warmup_5,5,56.0,110.71934490938582,389
flipped_E_convex_6,6,84.0,137.86881017037032,367
flipped_C_concave_4,4,65.0,94.54482320935074,390
flipped_exp_7,7,67.0,121.94709578397809,378
flipped_B_concave_2,2,64.0,106.5735390223064,404
flipped_C_convex_9,9,117.0,156.0452794099362,340
flipped_warmup_0,0,38.0,92.75123850658692,407
flipped_G_convex_0,0,113.0,154.9747027923333,367
H_convex_5,5,96.0,149.80932128834291,356
flipped_A_convex_5,5,102.0,142.84019036676517,364
E_convex_2,2,61.0,113.34460662625278,384
E_concave_9,9,139.0,176.7364930461579,321
exp_8,8,81.0,135.63255756759247,364
flipped_E_convex_8,8,104.0,157.15832066007124,347
flipped_B_convex_0,0,59.0,102.68207067149037,398
flipped_C_convex_3,3,66.0,108.89945150467335,392
B_concave_8,8,80.0,127.78761747217513,367
G_convex_4,4,501.0,155.26596526821842,351
B_convex_3,3,73.0,116.50708651444963,385
flipped_G_concave_8,8,115.0,142.41834628278812,353
flipped_exp_3,3,45.0,99.97561660182264,397
G_convex_1,1,106.0,146.79612915974985,363
C_convex_6,6,83.0,127.3666466332494,379
H_convex_3,3,83.0,136.9561080811265,364
flipped_D_convex_2,2,75.0,118.28182106147796,387
