folder_name,gt_distance,distance_to_boundary,distance_to_centroid,frame_used
flipped_F_convex_1,1,39,121.82990800075314,383
flipped_F_convex_1,1,39,121.82990800075314,383
flipped_A_concave_9,9,88,158.23586488768262,339
D_concave_7,7,-155,18.538440969853273,374
flipped_A_convex_2,2,47,127.16226870557458,377
H_concave_5,5,-124,58.7653089,375
E_convex_7,7,64,143.41297327091874,360
flipped_H_convex_0,0,38,136.8364233965913,376
flipped_warmup_8,8,61,135.81628154154862,364
flipped_G_concave_2,2,29,109.09435842744695,390
flipped_A_concave_0,0,57,112.60244149866692,403
warmup_7,7,48,122.70066728051862,377
flipped_H_concave_1,1,-2,101.60550931036045,391
E_convex_9,9,96,175.64602816650807,328
flipped_A_convex_6,6,56,140.09884032507495,360
B_convex_5,5,52,123.93521747811626,377
warmup_9,9,81,154.8955985319142,345
flipped_A_convex_7,7,70,149.5183152992202,352
flipped_E_concave_6,6,42,133.72278076586647,362
flipped_exp_5,5,35,110.28307509385668,389
flipped_A_concave_8,8,60,137.5404893,358
flipped_E_concave_1,1,-12,98.26977576591922,381
flipped_C_concave_8,8,-23,94.33158212215771,361
flipped_F_convex_3,3,49,129.1232330110515,374
exp_2,2,16,94.33342462807525,401
flipped_E_concave_5,5,28,126.24131863040196,365
flipped_D_concave_9,9,80,151.64460549596774,342
flipped_F_convex_0,0,34,118.4290359488388,386
flipped_E_concave_7,7,54,142.9111560231791,353
B_concave_6,6,-68,58.905115106602324,387
flipped_D_concave_6,6,-45,69.78855392604439,381
flipped_A_concave_5,5,43,113.79511311288483,383
D_concave_5,5,-64,51.87307519,386
flipped_E_convex_0,0,31,112.39603169180981,392
flipped_G_concave_4,4,-62,62.73246852062907,382
flipped_B_convex_2,2,42,110.72317977981467,390
flipped_G_convex_2,2,78,164.6516137,359
flipped_G_concave_1,1,-23,81.05712523184842,394
A_concave_6,6,6,106.35672224530046,378
flipped_F_concave_2,2,-161,25.997832687694054,384
flipped_B_concave_9,9,51,140.5254377,348
flipped_B_convex_9,9,97,168.5929140364232,333
flipped_warmup_6,6,42,116.21740385082008,384
flipped_B_convex_4,4,48,118.94684207983781,381
D_concave_2,2,-18,79.11562712674822,398
flipped_B_convex_7,7,37,122.96555221902821,365
F_concave_1,1,-77,60.93093796453333,388
warmup_5,5,36,110.71934490938582,389
flipped_E_convex_6,6,57,137.86881017037032,367
flipped_C_concave_4,4,-15,94.54482320935074,390
flipped_exp_7,7,48,121.94709578397809,378
flipped_B_concave_2,2,40,106.5735390223064,404
flipped_C_convex_9,9,95,156.0452794099362,340
flipped_warmup_0,0,18,92.75123850658692,407
flipped_G_convex_0,0,71,154.9747027923333,367
H_convex_5,5,63,149.80932128834291,356
flipped_A_convex_5,5,63,142.84019036676517,364
