folder_name,gt_distance,distance_to_boundary,distance_to_centroid,frame_used
B_concave_7,7,-18.0,79.7147272564217,380
flipped_C_convex_7,7,75.0,134.18400805457944,372
flipped_D_convex_7,7,89.0,145.86296991335203,363
E_convex_1,1,45.0,116.1307677979038,388
F_concave_4,4,-119.0,30.066929844956796,376
flipped_D_convex_4,4,51.0,117.92716751538819,379
flipped_F_concave_6,6,46.0,126.06308637272139,367
D_convex_3,3,53.0,119.72303238222655,383
C_concave_2,2,32.0,96.49462595968897,398
flipped_C_concave_7,7,64.0,121.73512766360517,374
H_concave_9,9,107.0,175.20884262478003,331
C_convex_5,5,51.0,113.692354267483,384
flipped_H_concave_3,3,12.0,120.60105044476873,383
H_concave_7,7,-26.0,104.96553187843942,363
H_convex_4,4,69.0,147.77369152152028,360
F_concave_3,3,-52.0,63.696739113709036,380
flipped_F_convex_4,4,69.0,134.81589537545864,370
H_convex_7,7,83.0,155.26364111381218,344
flipped_A_convex_1,1,64.0,127.48221302446919,380
flipped_B_concave_3,3,-96.0,31.22796940591316,400
flipped_B_convex_1,1,47.0,108.50986238594238,393
E_concave_8,8,88.0,157.9923384299205,340
F_convex_7,7,84.0,149.25773997250073,354
H_convex_1,1,57.0,129.95444628467766,372
warmup_4,4,39.0,106.53382426910284,393
F_convex_9,9,116.0,179.6220634290466,322
flipped_E_concave_3,3,57.0,128.27328836293387,373
flipped_D_convex_1,1,20.0,95.54962615020084,391
C_concave_3,3,19.0,91.73734325207211,394
flipped_B_convex_8,8,88.0,148.35219382055655,352
F_concave_9,9,92.0,169.32171292220377,328
flipped_A_concave_7,7,60.0,121.20884216515154,371
flipped_B_concave_1,1,-120.0,7.934497312627966,408
flipped_H_convex_9,9,119.0,192.7128220378433,312
flipped_C_concave_5,5,54.0,116.00744813860501,386
flipped_F_concave_7,7,12.0,113.48850651861525,360
flipped_G_concave_0,0,-12.0,77.8774308070796,399
C_convex_2,2,39.0,101.14398493967417,396
C_concave_0,0,-1.0,74.74466954441067,406
G_concave_5,5,501.0,96.44180774977946,378
flipped_H_concave_4,4,14.0,113.0957895010091,379
flipped_F_convex_6,6,77.0,142.49504422087116,361
flipped_E_concave_0,0,32.0,111.0539665978275,385
H_convex_6,6,78.0,158.17818627167352,351
flipped_C_convex_1,1,51.0,103.49376851385301,400
F_convex_5,5,73.0,137.2430719228043,366
H_concave_2,2,-78.0,26.70547426893137,387
warmup_3,3,42.0,106.51008317387836,397
C_concave_9,9,97.0,156.17657526841455,342
flipped_C_concave_6,6,38.0,109.7940865362312,381
flipped_A_concave_1,1,13.0,88.46321165052403,399
D_convex_5,5,63.0,128.3280622722209,375
exp_9,9,88.0,154.8955985319142,345
flipped_C_convex_0,0,34.0,94.6515958688926,404
A_convex_4,4,75.0,134.71596266800375,368
A_convex_9,9,131.0,185.0586953526295,320
