shape,changeType,blockNum,trialID,response,confidence,rt,experimentVersion,correctAnswer,fullShapeName,responded_correctly,analysisChangeType,subject
shape5,no_change5,3,31,same,8,3470.4,control,same,shape5_no_change5,1,none,1
shape8,no_change3,3,32,different,8,2733.4,control,same,shape8_no_change3,0,none,1
catch_shape,no_change5,3,33,same,9,1539.7,control,same,catch_shape_no_change5,1,none,1
shape3,no_change2,3,34,same,8,4026,control,same,shape3_no_change2,1,none,1
shape4,concave_area1,3,35,different,9,3966.5,control,different,shape4_concave_area1,1,concave,1
shape1,no_change5,4,36,same,9,98590.5,control,same,shape1_no_change5,1,none,1
shape8,concave_area2,4,37,different,9,2351.1,control,different,shape8_concave_area2,1,concave,1
shape7,convex_area1,4,38,different,9,2210.5,control,different,shape7_convex_area1,1,convex,1
shape2,convex_area1,4,39,different,9,1797.5,control,different,shape2_convex_area1,1,convex,1
shape4,convex_area2,4,40,different,8,2105.5,control,different,shape4_convex_area2,1,convex,1
catch_shape,change3,4,41,different,9,2604.7,control,different,catch_shape_change3,1,none,1
shape3,no_change1,4,42,same,9,1663.1,control,same,shape3_no_change1,1,none,1
shape5,no_change1,4,43,same,9,2474.1,control,same,shape5_no_change1,1,none,1
shape6,convex_area1,4,44,different,9,1835.8,control,different,shape6_convex_area1,1,convex,1
shape2,no_change2,5,45,same,8,1784.7,control,same,shape2_no_change2,1,none,1
shape3,convex_area1,5,46,different,7,2256.8,control,different,shape3_convex_area1,1,convex,1
shape4,convex_area1,5,47,different,9,3567.7,control,different,shape4_convex_area1,1,convex,1
shape7,no_change6,5,48,different,6,2098.6,control,same,shape7_no_change6,0,none,1
shape5,concave_area2,5,49,different,9,1816.2,control,different,shape5_concave_area2,1,concave,1
catch_shape,no_change1,5,50,same,9,3810.4,control,same,catch_shape_no_change1,1,none,1
shape6,no_change4,5,51,same,9,2544.6,control,same,shape6_no_change4,1,none,1
shape8,concave_nofill_area1,5,52,different,9,1939.5,control,different,shape8_concave_nofill_area1,1,concave_nofill,1
shape1,concave_area1,5,53,different,7,2587.6,control,different,shape1_concave_area1,1,concave,1
shape6,no_change6,6,54,same,9,2703.5,control,same,shape6_no_change6,1,none,1
shape5,no_change6,6,55,different,6,2174.5,control,same,shape5_no_change6,0,none,1
shape4,concave_nofill_area2,6,56,different,9,2162.3,control,different,shape4_concave_nofill_area2,1,concave_nofill,1
shape3,no_change5,6,57,different,6,2255.8,control,same,shape3_no_change5,0,none,1
shape2,no_change1,6,58,same,7,1727.8,control,same,shape2_no_change1,1,none,1
shape8,no_change1,6,59,same,9,1611.8,control,same,shape8_no_change1,1,none,1
catch_shape,no_change4,6,60,same,9,1707.5,control,same,catch_shape_no_change4,1,none,1
shape1,no_change2,6,61,same,9,10214.1,control,same,shape1_no_change2,1,none,1
shape7,no_change3,6,62,different,6,3134.5,control,same,shape7_no_change3,0,none,1
shape3,concave_nofill_area1,7,63,different,9,2519.8,control,different,shape3_concave_nofill_area1,1,concave_nofill,1
shape4,concave_nofill_area1,7,64,different,9,3110,control,different,shape4_concave_nofill_area1,1,concave_nofill,1
shape2,no_change5,7,65,different,7,1910.8,control,same,shape2_no_change5,0,none,1
shape6,concave_nofill_area1,7,66,different,9,1782.7,control,different,shape6_concave_nofill_area1,1,concave_nofill,1
shape1,concave_area2,7,67,different,9,3352.7,control,different,shape1_concave_area2,1,concave,1
shape8,convex_area1,7,68,different,9,2156.2,control,different,shape8_convex_area1,1,convex,1
shape5,no_change2,7,69,same,9,3932.9,control,same,shape5_no_change2,1,none,1
shape7,no_change2,7,70,same,9,1622.8,control,same,shape7_no_change2,1,none,1
catch_shape,no_change3,7,71,same,9,2329.4,control,same,catch_shape_no_change3,1,none,1
shape1,concave_nofill_area2,8,72,same,7,45251.1,control,different,shape1_concave_nofill_area2,0,concave_nofill,1
shape8,concave_nofill_area2,8,73,different,9,1525.6,control,different,shape8_concave_nofill_area2,1,concave_nofill,1
shape6,no_change3,8,74,same,9,802.9,control,same,shape6_no_change3,1,none,1
shape7,no_change5,8,75,same,9,869.3,control,same,shape7_no_change5,1,none,1
shape2,concave_nofill_area1,8,76,different,9,1430,control,different,shape2_concave_nofill_area1,1,concave_nofill,1
shape3,concave_nofill_area2,8,77,different,9,1648.5,control,different,shape3_concave_nofill_area2,1,concave_nofill,1
catch_shape,change4,8,78,same,1,37033.6,control,different,catch_shape_change4,0,none,1
shape5,concave_nofill_area2,8,79,different,9,2102.9,control,different,shape5_concave_nofill_area2,1,concave_nofill,1
shape4,concave_area2,8,80,different,9,2045.2,control,different,shape4_concave_area2,1,concave,1
shape4,no_change5,9,81,same,9,2219.3,control,same,shape4_no_change5,1,none,1
shape3,concave_area1,9,82,different,8,1850.9,control,different,shape3_concave_area1,1,concave,1
shape5,convex_area1,9,83,different,9,1591.5,control,different,shape5_convex_area1,1,convex,1
shape1,no_change3,9,84,same,7,1806.1,control,same,shape1_no_change3,1,none,1
shape6,convex_area2,9,85,different,9,2361.3,control,different,shape6_convex_area2,1,convex,1
shape8,convex_area2,9,86,different,9,2097.3,control,different,shape8_convex_area2,1,convex,1
shape7,no_change1,9,87,different,6,4500.1,control,same,shape7_no_change1,0,none,1
catch_shape,change6,9,88,different,9,3054.8,control,different,catch_shape_change6,1,none,1
shape2,no_change4,9,89,same,8,2416.2,control,same,shape2_no_change4,1,none,1
shape5,no_change3,10,90,same,9,2261.8,control,same,shape5_no_change3,1,none,1
shape4,no_change6,10,91,different,6,2309.5,control,same,shape4_no_change6,0,none,1
catch_shape,no_change6,10,92,same,9,2973.6,control,same,catch_shape_no_change6,1,none,1
shape6,concave_area1,10,93,different,9,1462.8,control,different,shape6_concave_area1,1,concave,1
shape3,no_change4,10,94,same,7,1538.5,control,same,shape3_no_change4,1,none,1
shape8,no_change6,10,95,same,9,1230.6,control,same,shape8_no_change6,1,none,1
shape7,concave_nofill_area2,10,96,different,9,2830.2,control,different,shape7_concave_nofill_area2,1,concave_nofill,1
shape2,concave_area1,10,97,different,9,2862.5,control,different,shape2_concave_area1,1,concave,1
shape1,concave_nofill_area1,10,98,different,9,2518.1,control,different,shape1_concave_nofill_area1,1,concave_nofill,1
shape7,concave_area1,11,99,different,9,2841.1,control,different,shape7_concave_area1,1,concave,1
shape6,no_change5,11,100,same,9,1634.3,control,same,shape6_no_change5,1,none,1
shape4,no_change2,11,101,same,6,5026.9,control,same,shape4_no_change2,1,none,1
shape8,no_change2,11,102,same,9,1470.3,control,same,shape8_no_change2,1,none,1
shape3,concave_area2,11,103,different,9,1739.4,control,different,shape3_concave_area2,1,concave,1
catch_shape,change5,11,104,different,9,2014,control,different,catch_shape_change5,1,none,1
shape2,concave_area2,11,105,different,9,1966.1,control,different,shape2_concave_area2,1,concave,1
shape1,convex_area1,11,106,different,9,2310.8,control,different,shape1_convex_area1,1,convex,1
shape5,convex_area2,11,107,different,9,2700.2,control,different,shape5_convex_area2,1,convex,1
shape7,no_change1,0,0,same,9,3688,control,same,shape7_no_change1,1,none,2
shape8,concave_nofill_area2,0,1,same,6,2591.7,control,different,shape8_concave_nofill_area2,0,concave_nofill,2
shape1,concave_area2,0,2,same,5,2202.9,control,different,shape1_concave_area2,0,concave,2
shape6,no_change4,0,3,same,7,1914.5,control,same,shape6_no_change4,1,none,2
shape2,concave_area1,0,4,different,7,1963.5,control,different,shape2_concave_area1,1,concave,2
shape3,no_change6,0,5,same,6,1967.3,control,same,shape3_no_change6,1,none,2
catch_shape,no_change1,0,6,same,9,2020,control,same,catch_shape_no_change1,1,none,2
shape4,convex_area2,0,7,different,4,2030.4,control,different,shape4_convex_area2,1,convex,2
shape5,no_change1,0,8,same,7,3485.8,control,same,shape5_no_change1,1,none,2
shape5,no_change2,1,9,different,4,2826.6,control,same,shape5_no_change2,0,none,2
shape2,concave_area2,1,10,different,9,3737.8,control,different,shape2_concave_area2,1,concave,2
shape6,no_change5,1,11,same,7,2091.2,control,same,shape6_no_change5,1,none,2
shape3,concave_area2,1,12,same,9,2456.7,control,different,shape3_concave_area2,0,concave,2
shape7,no_change2,1,13,same,7,1925.8,control,same,shape7_no_change2,1,none,2
shape4,no_change6,1,14,same,9,1620.4,control,same,shape4_no_change6,1,none,2
shape1,no_change2,1,15,same,8,1476.9,control,same,shape1_no_change2,1,none,2
shape8,concave_area1,1,16,same,7,1854.8,control,different,shape8_concave_area1,0,concave,2
catch_shape,change5,1,17,different,9,1899.7,control,different,catch_shape_change5,1,none,2
shape4,no_change1,2,18,same,6,2071.2,control,same,shape4_no_change1,1,none,2
shape3,no_change5,2,19,same,8,2294.9,control,same,shape3_no_change5,1,none,2
shape2,no_change1,2,20,different,2,2793.8,control,same,shape2_no_change1,0,none,2
catch_shape,change1,2,21,different,9,1975.8,control,different,catch_shape_change1,1,none,2
shape5,no_change5,2,22,same,9,1925.4,control,same,shape5_no_change5,1,none,2
shape8,no_change3,2,23,same,9,1615.5,control,same,shape8_no_change3,1,none,2
shape6,no_change3,2,24,same,9,2067.4,control,same,shape6_no_change3,1,none,2
shape7,no_change3,2,25,same,8,2119,control,same,shape7_no_change3,1,none,2
shape1,convex_area2,2,26,different,7,2709.6,control,different,shape1_convex_area2,1,convex,2
