shape,convex,algorithm,parameter,area_orig,area_new,area_diff,area_diff_ratio
F,concave,alpha_shape,0.06,6600.0,7903.5,1303.5,0.1975
F,concave,alpha_shape,0.1,6600.0,7543.0,943.0,0.14287878787878788
F,concave,alpha_shape,0.2,6600.0,6786.0,186.0,0.028181818181818183
F,concave,alpha_shape,0.3,6600.0,6553.5,-46.5,-0.007045454545454546
F,concave,alpha_shape,0.6,6600.0,6487.375,-112.625,-0.017064393939393938
F,concave,alpha_shape,1.0,6600.0,6476.125,-123.875,-0.018768939393939393
F,convex,alpha_shape,0.01,6678.0,8564.625,1886.625,0.2825134770889488
F,convex,alpha_shape,0.02,6678.0,8467.75,1789.75,0.26800688828990715
F,convex,alpha_shape,0.03,6678.0,8293.875,1615.875,0.24196990116801437
F,convex,alpha_shape,0.04,6678.0,8235.25,1557.25,0.23319107517220725
F,convex,alpha_shape,0.045,6678.0,8125.25,1447.25,0.21671907756813416
F,convex,alpha_shape,0.047,6678.0,8113.75,1435.75,0.2149970050913447
F,convex,alpha_shape,0.049,6678.0,8102.25,1424.25,0.21327493261455527
F,convex,alpha_shape,0.05,6678.0,8095.5,1417.5,0.21226415094339623
F,convex,alpha_shape,0.051,6678.0,8077.25,1399.25,0.20953129679544774
F,convex,alpha_shape,0.053,6678.0,8070.5,1392.5,0.2085205151242887
F,convex,alpha_shape,0.055,6678.0,8045.0,1367.0,0.20470200658879903
F,convex,alpha_shape,0.06,6678.0,7972.875,1294.875,0.19390161725067384
F,convex,alpha_shape,0.1,6678.0,7613.25,935.25,0.14004941599281223
F,convex,alpha_shape,0.2,6678.0,6875.75,197.75,0.02961215932914046
F,convex,alpha_shape,0.3,6678.0,6655.375,-22.625,-0.003387990416292303
F,convex,alpha_shape,0.6,6678.0,6580.875,-97.125,-0.014544025157232705
F,convex,alpha_shape,1.0,6678.0,6566.5,-111.5,-0.016696615753219526
G,convex,alpha_shape,0.01,4574.0,8131.875,3557.875,0.7778476169654569
G,convex,alpha_shape,0.02,4574.0,7827.0,3253.0,0.7111937035417578
G,convex,alpha_shape,0.03,4574.0,7635.625,3061.625,0.6693539571491036
G,convex,alpha_shape,0.04,4574.0,7268.875,2694.875,0.5891724967205947
G,convex,alpha_shape,0.045,4574.0,6776.875,2202.875,0.4816080017490162
G,convex,alpha_shape,0.047,4574.0,6717.5,2143.5,0.4686270222999563
G,convex,alpha_shape,0.049,4574.0,6581.75,2007.75,0.4389484040227372
G,convex,alpha_shape,0.05,4574.0,6439.5,1865.5,0.40784871010056845
G,convex,alpha_shape,0.051,4574.0,6439.5,1865.5,0.40784871010056845
G,convex,alpha_shape,0.053,4574.0,6313.625,1739.625,0.3803290336685614
G,convex,alpha_shape,0.055,4574.0,6255.125,1681.125,0.367539352864014
G,convex,alpha_shape,0.06,4574.0,6031.25,1457.25,0.31859422824661127
G,convex,alpha_shape,0.1,4574.0,5211.5,637.5,0.1393747267162221
G,convex,alpha_shape,0.2,4574.0,4754.625,180.625,0.0394895059029296
G,convex,alpha_shape,0.3,4574.0,4602.125,28.125,0.00614888500218627
G,convex,alpha_shape,0.6,4574.0,4487.125,-86.875,-0.0189932225623087
G,convex,alpha_shape,1.0,4574.0,4463.625,-110.375,-0.024130957586357672
G,concave,alpha_shape,0.01,4663.5,8194.25,3530.75,0.7571030342017798
G,concave,alpha_shape,0.02,4663.5,7862.625,3199.125,0.6859922804760373
G,concave,alpha_shape,0.03,4663.5,7674.0,3010.5,0.6455451913798649
G,concave,alpha_shape,0.04,4663.5,7368.25,2704.75,0.5799828455023052
G,concave,alpha_shape,0.045,4663.5,6944.125,2280.625,0.4890372038168757
G,concave,alpha_shape,0.047,4663.5,6851.375,2187.875,0.46914870805189235
G,concave,alpha_shape,0.049,4663.5,6663.625,2000.125,0.4288892462742575
G,concave,alpha_shape,0.05,4663.5,6617.25,1953.75,0.41894499839176585
G,concave,alpha_shape,0.051,4663.5,6594.625,1931.125,0.414093492012437
G,concave,alpha_shape,0.053,4663.5,6461.625,1798.125,0.385574139594725
G,concave,alpha_shape,0.055,4663.5,6389.25,1725.75,0.3700546799614024
G,concave,alpha_shape,0.06,4663.5,6185.625,1522.125,0.3263911225474429
G,concave,alpha_shape,0.1,4663.5,5293.875,630.375,0.1351720810550016
G,concave,alpha_shape,0.2,4663.5,4846.0,182.5,0.03913369786640935
G,concave,alpha_shape,0.3,4663.5,4687.5,24.0,0.005146349308459312
G,concave,alpha_shape,0.6,4663.5,4572.625,-90.875,-0.019486437225259997
G,concave,alpha_shape,1.0,4663.5,4550.625,-112.875,-0.024203924091347702
H,convex,alpha_shape,0.01,6707.5,10440.125,3732.625,0.5564852776742453
H,convex,alpha_shape,0.02,6707.5,10263.25,3555.75,0.5301155423033918
H,convex,alpha_shape,0.03,6707.5,10135.5,3428.0,0.5110696980991427
H,convex,alpha_shape,0.04,6707.5,9063.125,2355.625,0.3511926947446888
H,convex,alpha_shape,0.045,6707.5,8900.375,2192.875,0.3269288110324264
H,convex,alpha_shape,0.047,6707.5,8890.125,2182.625,0.3254006708907939
H,convex,alpha_shape,0.049,6707.5,8874.625,2167.125,0.3230898248229594
H,convex,alpha_shape,0.05,6707.5,8814.75,2107.25,0.3141632500931793
H,convex,alpha_shape,0.051,6707.5,8714.0,2006.5,0.29914275065225493
H,convex,alpha_shape,0.053,6707.5,8605.75,1898.25,0.28300409988818487
H,convex,alpha_shape,0.055,6707.5,8327.0,1619.5,0.24144614237793516
H,convex,alpha_shape,0.06,6707.5,8047.5,1340.0,0.19977636973537086
H,convex,alpha_shape,0.1,6707.5,7714.0,1006.5,0.15005590756615728
H,convex,alpha_shape,0.2,6707.5,6921.875,214.375,0.031960491986582185
H,convex,alpha_shape,0.3,6707.5,6783.625,76.125,0.011349235929929183
