2025-03-23 04:04:47,484 [INFO] Logger initialized.
2025-03-23 04:04:47,484 [INFO] Skipping collision detection; reusing existing iou_{X}.json data only.
2025-03-23 04:04:47,484 [INFO] Reading name mapping from /home/projects/bagon/andreyg/Projects/Object_reps_neural/Programming/detr/DATA_ANALYSIS/data_org/name_mapping.json...
2025-03-23 04:04:47,485 [INFO] Loaded name mapping with 96 entries.
2025-03-23 04:04:47,485 [INFO] Reading participant CSV from /home/projects/bagon/andreyg/Projects/Object_reps_neural/Programming/detr/DATA_ANALYSIS/data_org/experiment2-CollisionDetection-Data.csv...
2025-03-23 04:04:47,501 [INFO] CSV loaded with 13974 rows and 10 columns.
2025-03-23 04:04:47,509 [INFO] Reading precomputed collision times from iou_{thr}.json files...
2025-03-23 04:04:47,838 [INFO] Collision time loading complete.
2025-03-23 04:05:27,702 [INFO] Done creating results for full_resolution_resnet101, IoU=0.05
2025-03-23 04:06:06,369 [INFO] Done creating results for full_resolution_resnet101, IoU=0.1
2025-03-23 04:06:44,104 [INFO] Done creating results for full_resolution_resnet101, IoU=0.15
2025-03-23 04:07:22,530 [INFO] Done creating results for full_resolution_resnet101, IoU=0.2
2025-03-23 04:08:00,213 [INFO] Done creating results for full_resolution_resnet101, IoU=0.25
2025-03-23 04:08:38,724 [INFO] Done creating results for full_resolution_resnet101, IoU=0.3
2025-03-23 04:09:17,291 [INFO] Done creating results for full_resolution_resnet101, IoU=0.35
2025-03-23 04:09:57,851 [INFO] Done creating results for full_resolution_resnet101, IoU=0.4
2025-03-23 04:10:38,055 [INFO] Done creating results for full_resolution_resnet101, IoU=0.45
2025-03-23 04:11:15,531 [INFO] Done creating results for full_resolution_resnet101, IoU=0.5
2025-03-23 04:11:54,062 [INFO] Done creating results for full_resolution_resnet101, IoU=0.55
2025-03-23 04:12:33,403 [INFO] Done creating results for full_resolution_resnet101, IoU=0.6
2025-03-23 04:13:11,214 [INFO] Done creating results for full_resolution_resnet101, IoU=0.65
2025-03-23 04:13:49,681 [INFO] Done creating results for full_resolution_resnet101, IoU=0.7
2025-03-23 04:14:29,372 [INFO] Done creating results for full_resolution_resnet101, IoU=0.75
2025-03-23 04:15:09,443 [INFO] Done creating results for full_resolution_resnet101, IoU=0.8
2025-03-23 04:15:50,140 [INFO] Done creating results for full_resolution_resnet101, IoU=0.85
2025-03-23 04:16:32,110 [INFO] Done creating results for full_resolution_resnet101, IoU=0.9
2025-03-23 04:17:13,528 [INFO] Done creating results for full_resolution_resnet101, IoU=0.95
2025-03-23 04:17:13,528 [INFO] All analyses complete. Exiting.
