2025-03-22 18:25:08,408 [INFO] Logger initialized.
2025-03-22 18:25:08,408 [INFO] Skipping collision detection; reusing existing iou_{X}.json data only.
2025-03-22 18:25:08,408 [INFO] Reading name mapping from /home/projects/bagon/andreyg/Projects/Object_reps_neural/Programming/detr/DATA_ANALYSIS/data_org/name_mapping.json...
2025-03-22 18:25:08,409 [INFO] Loaded name mapping with 96 entries.
2025-03-22 18:25:08,409 [INFO] Reading participant CSV from /home/projects/bagon/andreyg/Projects/Object_reps_neural/Programming/detr/DATA_ANALYSIS/data_org/experiment2-CollisionDetection-Data.csv...
2025-03-22 18:25:08,424 [INFO] CSV loaded with 13974 rows and 10 columns.
2025-03-22 18:25:08,425 [INFO] Reading precomputed collision times from iou_{thr}.json files...
2025-03-22 18:25:08,877 [INFO] Collision time loading complete.
2025-03-22 18:25:46,918 [INFO] Done creating results for full_resolution_resnet101, IoU=0.05
2025-03-22 18:26:25,035 [INFO] Done creating results for full_resolution_resnet101, IoU=0.1
2025-03-22 18:27:03,835 [INFO] Done creating results for full_resolution_resnet101, IoU=0.15
2025-03-22 18:27:41,972 [INFO] Done creating results for full_resolution_resnet101, IoU=0.2
2025-03-22 18:28:20,594 [INFO] Done creating results for full_resolution_resnet101, IoU=0.25
2025-03-22 18:28:59,021 [INFO] Done creating results for full_resolution_resnet101, IoU=0.3
2025-03-22 18:29:37,569 [INFO] Done creating results for full_resolution_resnet101, IoU=0.35
2025-03-22 18:30:15,352 [INFO] Done creating results for full_resolution_resnet101, IoU=0.4
2025-03-22 18:30:54,166 [INFO] Done creating results for full_resolution_resnet101, IoU=0.45
