2025-03-11 06:44:33,629 [INFO] Logger initialized.
2025-03-11 06:44:33,629 [INFO] Extraction directory already exists; skipping extraction.
2025-03-11 06:44:33,629 [INFO] Reading name mapping from /home/projects/bagon/andreyg/Projects/Object_reps_neural/Programming/detr/DATA_ANALYSIS/data/name_mapping.json...
2025-03-11 06:44:33,629 [INFO] Loaded name mapping with 96 entries.
2025-03-11 06:44:33,629 [INFO] Reading participant CSV from /home/projects/bagon/andreyg/Projects/Object_reps_neural/Programming/detr/DATA_ANALYSIS/data/experiment2-CollisionDetection-Data.csv...
2025-03-11 06:44:33,645 [INFO] CSV loaded with 13974 rows and 10 columns.
2025-03-11 06:44:33,648 [INFO] Starting collision detection across subfolders and IoU thresholds...
2025-03-11 07:26:53,053 [INFO] Collision detection complete.
2025-03-11 07:27:31,515 [INFO] Done creating results for full_resolution_resnet101, IoU=0.05
2025-03-11 07:28:10,954 [INFO] Done creating results for full_resolution_resnet101, IoU=0.1
2025-03-11 07:28:50,131 [INFO] Done creating results for full_resolution_resnet101, IoU=0.15
2025-03-11 07:29:31,507 [INFO] Done creating results for full_resolution_resnet101, IoU=0.2
2025-03-11 07:30:12,675 [INFO] Done creating results for full_resolution_resnet101, IoU=0.25
2025-03-11 07:30:54,105 [INFO] Done creating results for full_resolution_resnet101, IoU=0.3
2025-03-11 07:31:34,511 [INFO] Done creating results for full_resolution_resnet101, IoU=0.35
2025-03-11 07:32:16,114 [INFO] Done creating results for full_resolution_resnet101, IoU=0.4
2025-03-11 07:32:56,345 [INFO] Done creating results for full_resolution_resnet101, IoU=0.45
2025-03-11 07:33:36,251 [INFO] Done creating results for full_resolution_resnet101, IoU=0.5
2025-03-11 07:34:16,141 [INFO] Done creating results for full_resolution_resnet101, IoU=0.55
2025-03-11 07:34:57,096 [INFO] Done creating results for full_resolution_resnet101, IoU=0.6
2025-03-11 07:35:38,791 [INFO] Done creating results for full_resolution_resnet101, IoU=0.65
2025-03-11 07:36:20,725 [INFO] Done creating results for full_resolution_resnet101, IoU=0.7
2025-03-11 07:37:04,346 [INFO] Done creating results for full_resolution_resnet101, IoU=0.75
2025-03-11 07:37:46,604 [INFO] Done creating results for full_resolution_resnet101, IoU=0.8
2025-03-11 07:38:30,302 [INFO] Done creating results for full_resolution_resnet101, IoU=0.85
2025-03-11 07:39:16,083 [INFO] Done creating results for full_resolution_resnet101, IoU=0.9
2025-03-11 07:40:01,054 [INFO] Done creating results for full_resolution_resnet101, IoU=0.95
2025-03-11 07:40:01,054 [INFO] All analyses complete. Exiting.
